DE ref,Schoolname,Newcomer,Total enrolment,% Newcomer
2016262,Newtownstewart Model Primary School,*,62,*
2016372,Cumber Claudy Primary School,0,145,0.00%
2016395,Gortin Primary School,0,54,0.00%
2016426,Limavady Central Primary School,9,422,2.10%
2016442,Sion Mills Primary School,0,260,0.00%
2016564,Fountain Primary School,0,113,0.00%
2016645,Bready Jubilee Primary School,*,131,*
2016656,Drumrane Primary School,0,132,0.00%
2016663,Cooley Primary School,*,137,*
2016700,Gaelscoil NeAchitain,0,93,0.00%
2016701,Ardstraw Jubilee Primary School,0,85,0.00%
2030364,Rosemount Primary School,*,346,*
2030373,Nazareth House Primary School,0,253,0.00%
2030381,"Holy Child Primary School, Londonderry",0,256,0.00%
2031828,"St Patrick's Primary School, Mullanaskea",*,207,*
2031863,Tattygar Primary School,*,75,*
2031868,"St Tierney's Primary School, Roslea",*,107,*
2031869,"St Mary's Primary School, Newtownbutler",*,180,*
2031874,"St Patrick's Primary School, Derrygonnelly",*,123,*
2031876,"St Mary's Primary School, Brookeborough",5,57,8.80%
2031880,"St Ninnidh's Primary School, Derrylin",15,133,11.30%
2031884,"St Mary's Primary School, Killesher",0,81,0.00%
2031887,"St John the Baptist Primary School, Enniskillen",0,46,0.00%
2031890,"St Mary's Primary School, Mullymesker",0,132,0.00%
2031895,"St Mary's Primary School, Maguiresbridge",0,95,0.00%
2031897,Killyhommon Primary School,0,73,0.00%
2031898,"St Paul's Primary School, Irvinestown",18,231,7.80%
2031901,"St Ronan's Primary School, Lisnaskea",18,359,5.00%
2032212,Glendermott Primary School,0,154,0.00%
2032263,"St Canice's Primary School, Feeny",*,116,*
2032278,Broadbridge Primary School,*,431,*
2032286,"St Matthew's Primary School, Limavady",0,83,0.00%
2032287,Termoncanice Primary School,21,528,4.00%
2032294,"St Mary's Primary School, Altinure",0,165,0.00%
2032300,Listress Primary School,0,23,0.00%
2032473,Magheralough Primary School,0,23,0.00%
2032573,"St Brigid's Primary School, Altamuskin",0,58,0.00%
2032603,Tummery Primary School,0,44,0.00%
2032607,"St Mary's Primary School, Killyclogher",10,388,2.60%
2032612,"St Matthew's Primary School, Garvaghey",0,27,0.00%
2032628,Knocknagor Primary School,0,68,0.00%
2032639,Drumduff Primary School,0,46,0.00%
2032662,"St Brigid's Primary School, Mountfield",*,38,*
2032676,"St Patrick's Primary School, Gortin",0,83,0.00%
2032677,Drumlish Primary School,0,62,0.00%
2032682,"St Eugene's Primary School, Victoria Bridge",0,62,0.00%
2032683,"St Joseph's Primary School, Glenmornan",0,38,0.00%
2032684,St Lawrence's Primary School,23,262,8.80%
2032685,"St Brigid's Primary School, Cranagh",0,22,0.00%
2032688,"St Eugene's Primary School, Tyrcur",0,31,0.00%
2032694,St Caireall's Primary School,0,92,0.00%
2032700,"St Joseph's Primary School, Drumquin",0,136,0.00%
2032704,Recarson Primary School,0,106,0.00%
2032705,"St Patrick's Primary School, Eskra",*,95,*
2032721,"Sacred Heart Primary School, Tattyreagh",0,80,0.00%
2032722,Altishane Primary School,0,16,0.00%
2032723,Roscavey Primary School,0,58,0.00%
2032724,Loughash Primary School,0,37,0.00%
2032730,"St Columba's Primary School, Clady",0,149,0.00%
2032731,"St Teresa's Primary School, Loughmacrory",6,157,3.80%
2032737,"St Columbkille's Primary School, Carrickmore",6,330,1.80%
2033706,Faughanvale Primary School,0,197,0.00%
2033707,Mullabuoy Primary School,0,82,0.00%
2033708,St Aidan's Primary School Magilligan,0,63,0.00%
2036008,"St Patrick's Primary School, Newtownstewart",*,126,*
2036032,"St John's Primary School, Bligh's Lane",0,563,0.00%
2036045,"St Canice's Primary School, Dungiven",*,326,*
2036069,"St Anne's Primary School, Derry",0,501,0.00%
2036070,"St Joseph's Primary School, Ederney",0,154,0.00%
2036082,"St Colmcilles Primary School, Claudy",0,263,0.00%
2036084,Steelstown Primary School,0,376,0.00%
2036085,St Peter's & St Paul's Primary School,0,42,0.00%
2036090,"St Naile's Primary School, Kinawley",5,95,5.30%
2036094,"St Patrick's Primary School, Castlederg",20,320,6.30%
2036095,"St Mary's Primary School, Cloughcor",0,183,0.00%
2036097,"St Peter's Primary School, Plumbridge",0,77,0.00%
2036105,St Martin's Primary School,0,91,0.00%
2036107,"St Joseph's Primary School, Lisnaskea",0,94,0.00%
2036116,"St Conor's Primary School, Omagh",23,438,5.30%
2036142,"St Brigid's Primary School, Carnhill",0,363,0.00%
2036143,"St Oliver Plunkett Primary School, Strathfoyle",19,222,8.60%
2036149,"St Finlough's Primary School, Sistrakeel",0,79,0.00%
2036153,St Scire's Primary School,0,118,0.00%
2036181,"St Mary's Primary School, Teemore",*,92,*
2036186,"St Dympna's Primary School, Dromore,",10,205,4.90%
2036187,"St John's Primary School, Dernaflaw",0,131,0.00%
2036213,"St Columban's Primary School, Belcoo",*,103,*
2036227,"St Paul's Primary School, Slievemore",*,165,*
2036247,"St Columba's Primary School, Newbuildings",0,63,0.00%
2036258,"St Davog's Primary School, Belleek",*,96,*
2036259,"Sacred Heart Primary School, Trench Road",0,397,0.00%
2036288,Good Shepherd Primary School,94,436,21.60%
2036291,"St Oliver Plunkett Primary School, Beragh",8,104,7.70%
2036356,"St Mary's Primary School, Tempo",0,126,0.00%
2036387,"St Patrick's Primary School, Donemana",0,36,0.00%
2036415,"Our Lady of Lourdes Primary School, Omagh",0,114,0.00%
2036449,"Christ The King Primary School, Omagh",46,202,22.80%
2036458,"St Mary?s Primary School, Gortnaghey",0,71,0.00%
2036459,"St Theresa's Primary School, Glebe",0,101,0.00%
2036461,"St Therese's Primary School, Lenamore",0,366,0.00%
2036465,Chapel Road Primary School,10,207,4.80%
2036472,"Holy Family Primary School, Ballymagroarty",0,491,0.00%
2036473,"St Eithne's Primary School, Ballymagroarty",*,418,*
2036475,Longtower Primary School,5,269,1.90%
2036533,Hollybush Primary School,11,450,2.40%
2036555,"St Eugene's Primary School, Londonderry",*,163,*
2036557,All Saints Primary School,0,110,0.00%
2036574,Bunscoil Cholmcille,0,108,0.00%
2036581,"St Patrick's Primary School, Pennyburn",0,867,0.00%
2036632,"Holy Trinity Primary School, Enniskillen",101,705,14.30%
2036659,"St Macartan's Primary School, Roslea",0,121,0.00%
2036674,"Holy Family Primary School, Omagh",43,384,11.20%
2036696,"St Mary's Primary School, Strabane",22,745,3.00%
2036703,St Catherine?s Primary School,17,500,3.40%
2046638,Gaelscoil U? Dhochartaigh,0,170,0.00%
2046646,Gaelscoil Eadain Mhoir,0,149,0.00%
2046669,Bunscoil an Traonaigh,0,44,0.00%
2046677,Gaelscoil na gCrann,0,157,0.00%
2046687,Gaelscoil na Daroige,0,66,0.00%
2046689,Gaelscoil Leim an Mhadaidh,0,82,0.00%
2052035,Groarty Primary School,0,41,0.00%
2066549,Enniskillen Integrated Primary School,23,337,6.80%
2066552,Omagh Integrated Primary School,30,348,8.60%
2066558,Oakgrove Integrated Primary School,28,452,6.20%
2066665,Roe Valley Integrated Primary School,*,188,*
3010404,Tildarg Primary School,0,80,0.00%
3010466,Longstone Primary School,0,32,0.00%
3010470,Carnalbanagh Primary School,0,26,0.00%
3010486,Larne and Inver Primary School,6,200,3.00%
3010553,Carrickfergus Model Primary School,31,400,7.80%
3010558,Duneane Primary School,0,31,0.00%
3010570,Straid Primary School,0,66,0.00%
3010572,Carrowreagh Primary School,0,87,0.00%
3010594,Garryduff Primary School,0,76,0.00%
3010631,Ballyclare Primary School,*,523,*
3010642,Parkgate Primary School,0,64,0.00%
3010646,Olderfleet Primary School,9,181,5.00%
3010696,Woodburn Primary School,0,190,0.00%
3010714,Buick Memorial Primary School,*,320,*
3010726,Dunseverick Primary School,0,102,0.00%
3010741,Creavery Primary School,0,80,0.00%
3010745,Loanends Primary School,0,204,0.00%
3010754,Doagh Primary School,0,87,0.00%
3010779,Thompson Primary School,0,189,0.00%
3010780,Kirkinriola Primary School,*,36,*
3010781,Harryville Primary School,31,129,24.00%
3010785,"Eden Primary School, Carrickfergus",0,210,0.00%
3010787,Lislagan Primary School,0,113,0.00%
3010794,Gracehill Primary School,9,432,2.10%
3010795,Landhead Primary School,0,63,0.00%
3010796,"Eden Primary School, Ballymoney",*,66,*
3010802,Ballynure Primary School,0,139,0.00%
3010804,Straidbilly Primary School,0,108,0.00%
3010808,Glynn Primary School,0,79,0.00%
3010809,Ballycarry Primary School,*,92,*
3010816,Randalstown Central Primary School,*,187,*
3010817,Greenisland Primary School,0,399,0.00%
3010818,Moorfields Primary School,*,184,*
3010822,Groggan Primary School,0,130,0.00%
3010825,Carnaghts Primary School,0,110,0.00%
3010826,The Diamond Primary School,0,141,0.00%
3010827,Whitehouse Primary School,14,461,3.00%
3010828,Kilbride Primary School,5,140,3.60%
3010829,Antrim Primary School,17,606,2.80%
3010834,Clough Primary School,0,168,0.00%
3010835,Kells & Connor Primary School,*,189,*
3010841,Carrickfergus Central Primary School,*,76,*
3010842,The William Pinkerton Memorial Primary School,0,91,0.00%
3010846,Whiteabbey Primary School,9,411,2.20%
3010847,Portrush Primary School,13,189,6.90%
3010850,Upper Ballyboley Primary School,0,42,0.00%
