Data on Pupils 1 attending primary schools in Northern Ireland 2015/16: SEN data,,,,
DE ref,Schoolname,Special Educational Needs,Code of Practice,(Stage 1 - 5 on code of practice)
4036530,"St Mary's Primary School, Portaferry",8,56,64
4036591,Our Lady Queen of Peace Primary School,10,40,50
4036618,Christ the Redeemer Primary School,11,88,99
4036635,"St Mary's Primary School, Newcastle",15,75,90
4036642,St Ita's Primary School,21,71,92
4036693,Our Lady and St Patrick Primary School,13,86,99
4036702,Holy Evangelist Primary School,36,107,143
4046600,Scoil na Fuiseoige,*,#,43
4046648,Bunscoil Bheanna Boirche,*,#,15
4051569,Kircubbin Integrated Primary School,9,25,34
4051601,Portaferry Integrated Primary School,*,#,25
4051680,Bangor Central Integrated Primary School,11,163,174
4053009,Annsborough Primary School,*,#,6
4053020,Glencraig Integrated Primary School,7,20,27
4053308,Fort Hill Integrated Primary School,5,44,49
4056541,All Childrens Integrated Primary School,7,23,30
4056709,Killyleagh Primary School,*,#,15
4056710,Loughries Primary School,*,#,20
4066579,Loughview Integrated Primary School,13,46,59
4066588,Cedar Integrated Primary School,5,56,61
4066611,Oakwood Integrated Primary School,9,54,63
4066644,Millennium Integrated Primary School,13,48,61
4066668,Drumlins Integrated Primary School,6,38,44
4066682,Rowandale Integrated Primary School,14,20,34
4610063,Regent House Prep Dept,*,#,26
4620044,"Sullivan Upper School, Prep Dept",*,#,55
4620050,Friend's School Prep Dept,5,10,15
4620051,"Wallace High School, Prep Dept",7,22,29
5010909,Foley County Primary School,0,*,*
5010992,Lurgan Model Primary School,7,49,56
5011019,Mullaglass Primary School,*,#,14
5011095,Mullavilly Primary School,*,#,21
5011112,Hardy Memorial Primary School,11,44,55
5011115,Armstrong Primary School,45,77,122
5011116,Tandragee Primary School,6,25,31
5011117,Drumsallen Primary School,*,#,7
5011119,Darkley Primary School,*,#,12
5011124,"Kings Park Primary School, Lurgan",15,156,171
5011127,"Carrick Primary School, Lurgan",45,91,136
5011129,Hart Memorial Primary School,14,78,92
5011132,Killylea Primary School,*,#,16
5011137,Newtownhamilton Primary School,*,#,20
5011142,Clare Primary School,*,#,14
5011152,Kingsmills Primary School,*,*,*
5011153,Lisnadill Primary School,*,#,7
5011157,Derryhale Primary School,*,#,17
5011161,Mountnorris Primary School,*,#,16
5011165,Rich Mount Primary School,*,#,10
5011174,Birches Primary School,0,26,26
5011175,Cortamlet Primary School,*,#,26
5011179,Bessbrook Primary School,5,13,18
5011189,"Edenderry Primary School, Portadown",39,54,93
5011190,Tullygally Primary School,7,37,44
5011520,Dromore Road Primary School,5,21,26
5011575,Dromore Central Primary School,17,130,147
5011594,Abercorn Primary School,10,34,44
5011596,Gilford Primary School,*,#,13
5011598,Waringstown Primary School,6,39,45
5011602,Bleary Primary School,6,27,33
5011611,Iveagh Primary School,7,38,45
5011617,Ballydown Primary School,8,32,40
5011649,Kilkeel Primary School,14,68,82
5011651,Milltown Primary School,0,12,12
5011664,Scarva Primary School,5,21,26
5011684,Annalong Primary School,*,#,28
5011687,Maralin Village Primary School,5,34,39
5012280,Moneymore Primary School,10,26,36
5012538,Churchill Primary School,*,#,8
5012611,Lisfearty Primary School,*,*,*
5012615,Ballytrea Primary School,*,#,13
5012621,Aughnacloy Primary School,5,12,17
5012632,Donaghmore Primary School,*,#,16
5012635,Augher Central Primary,7,9,16
5012636,Moy Regional Primary School,*,#,11
5012643,Stewartstown Primary School,*,*,5
5012646,Howard Primary School,7,51,58
5012649,Coagh Primary School,*,#,6
5012657,Walker Memorial Primary School,*,#,9
5012696,Carntall Primary School,*,#,13
5012719,Newmills Primary School,*,#,16
5012720,Dungannon Primary School,37,24,61
5012726,Cookstown Primary School,53,49,102
5013019,"Edenderry Primary School, Banbridge",34,55,89
5013702,Woods Primary School,6,22,28
5016007,Millington Primary School,20,126,146
5016027,Drumhillery Primary School,*,0,*
5016065,Dickson Primary School,9,50,59
5016078,Poyntzpass Primary School,*,#,22
5016079,The Cope Primary School,*,#,24
5016080,Drumgor Primary School,*,#,38
5016088,Fivemiletown Primary School,6,48,54
5016098,Brackenagh West Primary School,7,22,29
5016117,Ballyoran Primary School,12,45,57
5016138,Bocombra Primary School,7,22,29
5016141,Churchtown Primary School,*,*,5
5016178,Donacloney Primary School,*,#,58
5016179,Hamiltonsbawn Primary School,*,#,25
5016200,"Queen Elizabeth II Primary School, Pomeroy",*,#,6
5016221,Orritor Primary School,10,48,58
5016224,Donaghey Primary School,*,#,15
5016391,Bush Primary School,*,#,22
5016436,Markethill Primary School,7,57,64
5016451,Windsor Hill Primary School,*,#,36
5016543,Moyallon Primary School,0,28,28
5016599,Fair Hill Primary School,7,49,56
5016612,Bronte Primary School,*,#,18
5016616,Drumadonnell Primary School,*,#,26
5016643,Richmond Primary School,0,11,11
5016658,Orchard County Primary School,*,#,44
5016680,Killyman Primary School,*,#,38
5030958,"St John's Primary School, Eglish",0,6,6
5030972,"St Oliver Plunkett's Primary School, Forkhill",*,#,33
5030975,"St Malachy's Primary School, Ballymoyer",*,#,11
5031070,"St Michael's Primary School, N'hamilton",*,#,11
5031080,Clintyclay Primary School,0,5,5
5031086,Clonalig Primary School,10,25,35
5031088,Dromintee Primary School,*,#,29
5031103,Tannaghmore Primary School,13,78,91
5031107,"St Teresa's Primary School, Tullyherron",*,#,6
5031108,Clea Primary School,*,#,22
5031110,Christian Brothers' Primary School,15,73,88
5031126,Mount St Catherine's Primary School,*,#,56
5031130,Cloughoge Primary School,13,62,75
5031133,"St Malachy's Primary School, Armagh",9,27,36
5031135,"St Olivers' Primary School, Carrickravaddy",*,#,7
5031138,"St Joseph's Primary School, Madden",*,#,13
5031146,Anamar Primary School,*,#,12
5031148,"St Patrick's Primary School, Crossmaglen",6,48,54
5031154,Killean Primary School,*,#,31
5031158,"St Patrick's Primary School, Newry",18,61,79
5031160,"St Teresa's Primary School, Lurgan",10,34,44
5031163,"St Brigid's Primary School, G'drummond",5,17,22
5031164,"St Mary's Primary School, Maghery",*,#,14
5031166,"St Michael's Primary School, Clady",*,#,10
5031167,"St James' Primary School, Drumatee",0,*,*
5031168,"St Patrick's Primary School, Aghacommon",7,24,31
5031169,"St Brigid's Primary School, Drumilly",6,5,11
5031172,"St Mary's Primary School, Granemore",6,15,21
5031176,"St Peter's Primary School, Cloughreagh",13,54,67
5031183,"St Patrick's Primary School, Armagh",6,90,96
5031184,"St Anthony's Primary School, Craigavon",26,76,102
5031188,"St Joseph's Primary School, Meigh",7,27,34
5031318,"Killowen Primary School, Rostrevor",*,#,12
5031325,"St Joseph's Primary School, Ballymartin",*,#,21
5031340,"St Joseph's Convent Primary School, Newry",51,83,134
5031516,Moneydarragh Primary School,*,#,11
5031558,Ballyholland Primary School,*,#,60
5031589,Grange Primary School,*,#,27
5031609,"Carrick Primary School, Warenpoint",5,48,53
5031653,"St Matthew's Primary School, Magheramayo",*,#,6
5031667,"St Patrick's Primary School, Maralin",*,#,16
5031669,"St John's Primary School, Gilford",*,#,37
5031694,"Holy Cross Primary School, Kilkeel",*,#,27
5031695,"St Mary's Primary School, Barr",*,#,27
5031697,"St Patrick's Primary School, Mayobridge",8,37,45
5032208,Ballylifford Primary School,*,*,6
5032262,Lissan Primary School,*,#,14
5032306,"St Malachy's Primary School, Glencull",*,#,13
5032387,Derrylatinee Primary School,*,*,*
5032463,Blessed Patrick O'loughran Primary School,*,#,27
5032558,Laghey Primary School,*,#,22
5032585,Edendork Primary School,*,#,62
5032591,Roan St Patrick's Primary School,*,#,24
5032592,"St Mary's Primary School, Lisbuoy",*,#,13
5032624,"St Macartan's Primary School, Clogher",*,*,6
5032678,"St Patrick's Primary School, Donaghmore",5,22,27
5032692,"St Mary's Primary School, Stewartstown",*,#,12
5032697,"St Patrick's Primary School, Aughadarragh",*,#,9
5032698,"St Brigid's Primary School, Mountjoy",7,17,24
5032699,"St Mary's Primary School, Dunamore",*,#,25
5032703,"St Peters' Primary School, Moortown",5,18,23
5032713,Derrychrin Primary School,*,#,18
5032714,"Holy Family Primary School, Aughamullan",*,#,12
5032715,"St John's Primary School, Moy",*,#,17
5032717,"St Patrick's Primary School, Mullinahoe",*,#,31
5032727,"St Brigid's Primary School, Augher",0,6,6
5032729,"St John's Primary School, Kingisland",*,#,27
5032734,"St Mary's Primary School, Cabra",*,#,19
5032735,"St Mary's Primary School, Ballygawley",*,#,11
5032736,"St Mary's Primary School, Fivemiletown",0,8,8
5033003,"St Paul's Primary School, Cabra",*,#,16
5033004,"St Mary's Primary School, Rathfriland",*,#,21
5033006,"St Michael's Primary School, Finnis",0,*,*
5033011,"St Mary's Primary School, Dechomet",*,*,8
5033025,"St Patrick's Primary School, Ballymaghery",8,41,49
5033324,"St Patrick's Primary School, Derrynaseer",6,17,23
5036000,"St Colman's Primary School, Dromore",*,#,14
5036001,"St Mary's Primary School, Glassdrumman",5,8,13
5036006,"St Mary's Primary School, Derrymore",*,#,6
5036009,"St Mary's Primary School, Derrytrasna",*,#,13
5036031,"St Patrick's Primary School, Loup",*,#,30
5036033,"St Joseph's Primary School, Galbally",*,#,30
5036043,"St Mary's Primary School, Banbridge",31,102,133
5036047,"St Patrick's Primary School, Annaghmore",5,41,46
5036057,"St Malachy's Primary School, Drumullan",*,#,9
5036061,"St Colman's Primary School, Annaclone",8,23,31
5036064,"St Malachy's Primary School, C'croppan",15,44,59
5036087,"St Mary's Primary School, Mullaghbawn",9,38,47
5036099,"St Patrick's Primary School, Cullyhanna",*,#,46
5036101,St Brendan's Primary School,15,95,110
5036108,"St Joseph's Primary School, Killeenan",*,#,12
5036110,"St Joseph's Primary School, Bessbrook",51,52,103
5036118,"St Mary's Primary School, Pomeroy",8,34,42
5036120,"St Patrick's Primary School, Moneymore",*,#,11
5036121,St Jarlath's Primary School,*,#,30
5036122,Jonesborough Primary School,*,#,10
5036130,St Laurence O'Toole's Primary School,*,#,11
5036136,"Sacred Heart Primary School, Rock",*,#,9
5036173,"St John the Baptist Primary School, Portadown",12,74,86
5036180,"St Oliver Plunkett's Primary School, Ballyhegan",*,#,10
5036363,"St Mary's Primary School, Aughnacloy",*,#,15
5036400,"St Colman's Primary School, Bann",0,31,31
5036409,"St Ronan's Primary School, Newry",11,46,57
5036433,"St Malachy's Primary School, Carnagat",18,57,75
5036457,"St Francis' Primary School, Aghaderg",*,#,21
5036463,"St Joseph's Primary School, Caledon",0,10,10
5036504,"St Patrick's Primary School, Dungannon",23,120,143
5036545,"St Colmans' Primary School, Kilkeel",8,43,51
5036567,"Holy Trinity Primary School, Cookstown",20,85,105
5036572,"St Colman's Primary School, Saval",*,#,52
5036583,"St Dallan's Primary School, Warrenpoint",17,78,95
5036586,Presentation Primary School,*,#,46
5036590,Primate Dixon Primary School,26,85,111
5036595,"St Peter's Primary School, Collegelands",*,#,17
5036598,"Our Lady's Primary School, Tullysaran",*,#,31
5036605,"St Patrick's Primary School, Drumgreenagh",*,#,17
5036610,St Francis' of  Assisi Primary School,7,24,31
5036622,"St John's Primary School, Middletown",*,#,32
5036633,"St Francis' Primary School, Lurgan",15,136,151
5036634,"St Clare's Abbey Primary School, Newry",29,87,116
5036639,Our Lady's and St Mochua's Primary School,6,24,30
5036673,St Bronagh's Primary School,*,#,34
5036675,St Joseph's and St James' Primary School,*,#,17
5046137,Seagoe Primary School,6,22,28
5046241,Drelincourt Infants School,0,6,6
5046597,Bunscoil an Iuir,*,#,19
5046637,Gaelscoil U? Neill,*,#,22
5046692,Gaelscoil Na mBeann,*,*,*
5046695,Gaelscoil Aodha Rua,*,#,16
5046699,Gaelscoil Eoghain,*,#,17
5056013,Kilbroney Integrated Primary School,6,21,27
5066540,Bridge Integrated Primary School,10,85,95
5066553,Portadown Integrated Primary School,10,57,67
5066554,Windmill Integrated Primary School,9,32,41
5066578,Saints & Scholars Int Primary School,9,30,39
5066657,Phoenix Integrated Primary School,*,#,54
5620263,Royal School,0,8,8
