Data on Pupils 1 attending primary schools in Northern Ireland 2015/16: SEN data,,,,
DE ref,Schoolname,Special Educational Needs,Code of Practice,(Stage 1 - 5 on code of practice)
2030364,Rosemount Primary School,5,62,67
2030373,Nazareth House Primary School,6,29,35
2030381,"Holy Child Primary School, Londonderry",6,40,46
2031828,"St Patrick's Primary School, Mullanaskea",*,#,32
2031863,Tattygar Primary School,0,14,14
2031868,"St Tierney's Primary School, Roslea",*,#,26
2031869,"St Mary's Primary School, Newtownbutler",8,33,41
2031874,"St Patrick's Primary School, Derrygonnelly",5,26,31
2031876,"St Mary's Primary School, Brookeborough",*,#,16
2031880,"St Ninnidh's Primary School, Derrylin",8,27,35
2031884,"St Mary's Primary School, Killesher",*,#,19
2031887,"St John the Baptist Primary School, Enniskillen",0,19,19
2031890,"St Mary's Primary School, Mullymesker",5,21,26
2031895,"St Mary's Primary School, Maguiresbridge",*,#,23
2031897,Killyhommon Primary School,*,#,17
2031898,"St Paul's Primary School, Irvinestown",5,40,45
2031901,"St Ronan's Primary School, Lisnaskea",9,61,70
2032212,Glendermott Primary School,8,29,37
2032263,"St Canice's Primary School, Feeny",*,#,29
2032278,Broadbridge Primary School,6,92,98
2032286,"St Matthew's Primary School, Limavady",*,#,7
2032287,Termoncanice Primary School,9,84,93
2032294,"St Mary's Primary School, Altinure",*,#,39
2032300,Listress Primary School,*,*,5
2032473,Magheralough Primary School,0,8,8
2032573,"St Brigid's Primary School, Altamuskin",0,10,10
2032603,Tummery Primary School,*,#,8
2032607,"St Mary's Primary School, Killyclogher",10,87,97
2032612,"St Matthew's Primary School, Garvaghey",*,*,5
2032628,Knocknagor Primary School,0,18,18
2032639,Drumduff Primary School,*,*,7
2032662,"St Brigid's Primary School, Mountfield",*,#,11
2032676,"St Patrick's Primary School, Gortin",*,#,15
2032677,Drumlish Primary School,*,#,23
2032682,"St Eugene's Primary School, Victoria Bridge",0,16,16
2032683,"St Joseph's Primary School, Glenmornan",*,#,11
2032684,St Lawrence's Primary School,6,16,22
2032685,"St Brigid's Primary School, Cranagh",0,*,*
2032688,"St Eugene's Primary School, Tyrcur",0,*,*
2032694,St Caireall's Primary School,*,#,18
2032700,"St Joseph's Primary School, Drumquin",*,#,17
2032704,Recarson Primary School,*,#,24
2032705,"St Patrick's Primary School, Eskra",0,10,10
2032721,"Sacred Heart Primary School, Tattyreagh",0,12,12
2032722,Altishane Primary School,0,5,5
2032723,Roscavey Primary School,*,#,14
2032724,Loughash Primary School,0,11,11
2032730,"St Columba's Primary School, Clady",5,19,24
2032731,"St Teresa's Primary School, Loughmacrory",*,#,30
2032737,"St Columbkille's Primary School, Carrickmore",8,78,86
2033706,Faughanvale Primary School,*,#,55
2033707,Mullabuoy Primary School,*,#,16
2033708,St Aidan's Primary School Magilligan,*,#,10
2036008,"St Patrick's Primary School, Newtownstewart",*,#,45
2036032,"St John's Primary School, Bligh's Lane",17,95,112
2036045,"St Canice's Primary School, Dungiven",14,34,48
2036069,"St Anne's Primary School, Derry",11,77,88
2036070,"St Joseph's Primary School, Ederney",6,34,40
2036082,"St Colmcilles Primary School, Claudy",13,36,49
2036084,Steelstown Primary School,13,61,74
2036085,St Peter's & St Paul's Primary School,*,#,12
2036090,"St Naile's Primary School, Kinawley",5,10,15
2036094,"St Patrick's Primary School, Castlederg",5,55,60
2036095,"St Mary's Primary School, Cloughcor",*,#,33
2036097,"St Peter's Primary School, Plumbridge",*,#,16
2036105,St Martin's Primary School,*,#,19
2036107,"St Joseph's Primary School, Lisnaskea",*,#,26
2036116,"St Conor's Primary School, Omagh",17,75,92
2036142,"St Brigid's Primary School, Carnhill",25,85,110
2036143,"St Oliver Plunkett Primary School, Strathfoyle",5,33,38
2036149,"St Finlough's Primary School, Sistrakeel",*,#,15
2036153,St Scire's Primary School,*,#,14
2036181,"St Mary's Primary School, Teemore",*,#,16
2036186,"St Dympna's Primary School, Dromore,",11,33,44
2036187,"St John's Primary School, Dernaflaw",*,#,18
2036213,"St Columban's Primary School, Belcoo",*,#,29
2036227,"St Paul's Primary School, Slievemore",7,57,64
2036247,"St Columba's Primary School, Newbuildings",*,#,17
2036258,"St Davog's Primary School, Belleek",*,#,19
2036259,"Sacred Heart Primary School, Trench Road",13,81,94
2036288,Good Shepherd Primary School,7,34,41
2036291,"St Oliver Plunkett Primary School, Beragh",6,19,25
2036356,"St Mary's Primary School, Tempo",*,#,28
2036387,"St Patrick's Primary School, Donemana",*,#,7
2036415,"Our Lady of Lourdes Primary School, Omagh",*,#,11
2036449,"Christ The King Primary School, Omagh",5,34,39
2036458,"St Mary?s Primary School, Gortnaghey",*,#,9
2036459,"St Theresa's Primary School, Glebe",*,#,24
2036461,"St Therese's Primary School, Lenamore",9,101,110
2036465,Chapel Road Primary School,5,30,35
2036472,"Holy Family Primary School, Ballymagroarty",8,138,146
2036473,"St Eithne's Primary School, Ballymagroarty",9,73,82
2036475,Longtower Primary School,6,62,68
2036533,Hollybush Primary School,9,41,50
2036555,"St Eugene's Primary School, Londonderry",*,#,31
2036557,All Saints Primary School,*,#,25
2036574,Bunscoil Cholmcille,*,#,20
2036581,"St Patrick's Primary School, Pennyburn",13,119,132
2036632,"Holy Trinity Primary School, Enniskillen",47,212,259
2036659,"St Macartan's Primary School, Roslea",*,#,27
2036674,"Holy Family Primary School, Omagh",14,86,100
2036696,"St Mary's Primary School, Strabane",12,118,130
2036703,St Catherine?s Primary School,13,109,122
2046638,Gaelscoil U? Dhochartaigh,*,#,22
2046646,Gaelscoil Eadain Mhoir,5,36,41
2046669,Bunscoil an Traonaigh,*,#,18
2046677,Gaelscoil na gCrann,*,#,45
2046687,Gaelscoil na Daroige,*,#,31
2046689,Gaelscoil Leim an Mhadaidh,*,#,10
2052035,Groarty Primary School,*,#,20
2066549,Enniskillen Integrated Primary School,12,42,54
2066552,Omagh Integrated Primary School,6,57,63
2066558,Oakgrove Integrated Primary School,13,94,107
2066665,Roe Valley Integrated Primary School,*,#,53
3010404,Tildarg Primary School,*,#,13
3010466,Longstone Primary School,0,6,6
3010470,Carnalbanagh Primary School,*,*,*
3010486,Larne and Inver Primary School,*,#,47
3010553,Carrickfergus Model Primary School,*,#,59
3010558,Duneane Primary School,*,#,6
3010570,Straid Primary School,*,#,9
3010572,Carrowreagh Primary School,*,#,15
3010594,Garryduff Primary School,0,11,11
3010631,Ballyclare Primary School,14,88,102
3010642,Parkgate Primary School,*,#,12
3010646,Olderfleet Primary School,8,35,43
3010696,Woodburn Primary School,*,#,37
3010714,Buick Memorial Primary School,6,52,58
3010726,Dunseverick Primary School,*,#,14
3010741,Creavery Primary School,*,#,26
3010745,Loanends Primary School,6,40,46
3010754,Doagh Primary School,*,#,23
3010779,Thompson Primary School,*,#,20
3010780,Kirkinriola Primary School,*,#,7
3010781,Harryville Primary School,10,44,54
3010785,"Eden Primary School, Carrickfergus",*,#,46
3010787,Lislagan Primary School,*,#,20
3010794,Gracehill Primary School,7,53,60
3010795,Landhead Primary School,*,#,17
3010796,"Eden Primary School, Ballymoney",*,#,20
3010802,Ballynure Primary School,*,#,26
3010804,Straidbilly Primary School,*,#,22
3010808,Glynn Primary School,0,18,18
3010809,Ballycarry Primary School,5,13,18
3010816,Randalstown Central Primary School,*,#,36
3010817,Greenisland Primary School,9,45,54
3010818,Moorfields Primary School,6,29,35
3010822,Groggan Primary School,*,#,35
3010825,Carnaghts Primary School,*,#,22
3010826,The Diamond Primary School,*,#,18
3010827,Whitehouse Primary School,*,#,103
3010828,Kilbride Primary School,*,#,56
