DE ref,school name,nursery pupils,reception pupils,year 1,year 2,year 3,year 4,year 5,year 6,year 7,total enrolment
2010380,Londonderry Model Primary School,28,0,41,43,39,35,43,41,43,313
2010382,Ebrington Controlled Primary School,62,0,54,56,51,62,62,56,48,451
2011787,Kesh Primary School,30,0,32,32,19,34,36,28,25,236
2011789,Moat Primary School,0,0,18,20,21,17,7,13,23,119
2011860,Belleek Primary School,0,1,7,2,3,4,2,6,4,29
2011873,Aghadrumsee Primary School,0,0,9,4,12,5,6,2,2,40
2011879,Newtownbutler Primary School,0,1,5,9,3,10,8,7,10,53
2011881,Florencecourt Primary School,27,0,14,10,17,15,13,10,18,124
2011893,Ballinamallard Primary School,26,0,17,18,17,22,20,21,19,160
2011894,Brookeborough Primary School,0,1,9,10,12,8,12,15,4,71
2011899,Derrygonnelly Primary School,0,0,10,14,8,10,12,7,7,68
2012052,Culmore Primary School,0,0,7,9,13,13,6,11,11,70
2012087,Bellarena Primary School,0,0,2,2,3,5,6,6,10,34
2012095,Ballougry Primary School,0,0,8,7,8,16,13,16,3,71
2012227,Drumahoe Primary School,0,0,46,56,41,46,44,39,30,302
2012245,Eglinton Primary School,30,0,22,26,20,28,32,27,30,215
2012261,Newbuildings Primary School,26,0,31,28,32,22,27,23,15,204
2012298,Ballykelly Primary School,27,0,47,39,39,45,46,40,32,315
2012344,McClintock Primary School,0,0,15,12,13,12,12,8,12,84
2012378,Dunmullan Primary School,0,2,4,8,4,7,4,2,5,36
2012617,Erganagh Primary School,0,0,2,8,3,3,10,8,6,40
2012638,Edwards Primary School,30,0,23,26,30,38,27,29,26,229
2012641,Killen Primary School,0,0,21,13,12,16,17,15,16,110
2012648,Gillygooley Primary School,0,1,6,3,5,0,2,5,8,30
2012660,Denamona Primary School,0,0,12,9,7,7,13,9,6,63
2012669,"Queen Elizabeth II Primary School, Omagh",0,0,8,9,2,9,6,4,7,45
2012671,Langfield Primary School,0,0,5,2,2,3,4,6,6,28
2012691,Omagh County Primary School,51,0,41,36,42,44,37,46,40,337
2012707,Dromore Primary School,0,0,13,6,4,8,6,8,3,48
2012708,Strabane Controlled Primary School,27,0,33,34,44,32,36,35,40,281
2012711,Donemana Primary School,0,0,20,8,25,15,13,11,12,104
2016003,Jones Memorial Primary School,0,9,23,23,25,19,25,27,29,180
2016029,Drumachose Primary School,0,0,59,60,41,45,33,39,41,318
2016068,Artigarvan Primary School,25,0,23,21,17,19,19,16,9,149
2016071,Greenhaw Primary School,53,0,43,41,41,37,31,42,27,315
2016089,Gibson Primary School,0,0,50,48,48,37,43,46,39,311
2016102,Tempo Primary School,0,0,15,18,14,13,20,15,9,104
2016124,Ashlea Primary,26,0,10,7,9,13,10,1,7,83
2016127,Maguiresbridge Primary School,0,0,21,15,19,20,9,19,12,115
2016151,Irvinestown Primary School,0,0,25,19,27,22,31,20,17,161
2016152,Enniskillen Model Primary School,0,0,54,61,63,65,61,66,62,432
2016184,Lack Primary School,0,2,4,9,9,11,9,7,2,53
2016203,Lisnagelvin Primary School,0,0,87,90,82,83,90,77,89,598
2016218,Lisbellaw Primary School,26,0,26,31,23,23,32,31,27,219
2016262,Newtownstewart Model Primary School,0,0,7,12,6,14,8,6,9,62
2016372,Cumber Claudy Primary School,0,0,23,19,28,14,27,10,24,145
2016395,Gortin Primary School,0,0,9,12,7,6,7,3,10,54
2016426,Limavady Central Primary School,0,0,53,56,57,49,74,76,57,422
2016442,Sion Mills Primary School,52,0,22,31,31,37,28,25,34,260
2016564,Fountain Primary School,26,0,10,19,12,16,11,13,6,113
2016645,Bready Jubilee Primary School,0,0,20,19,19,21,17,15,20,131
2016656,Drumrane Primary School,0,0,15,23,20,21,19,20,14,132
2016663,Cooley Primary School,19,0,16,21,12,18,18,12,21,137
2016700,Gaelscoil NeAchitain,0,0,13,14,14,23,14,7,8,93
