DE ref,Schoolname,male,female,total pupils
4066644,Millennium Integrated Primary School,181,156,337
4066668,Drumlins Integrated Primary School,102,81,183
4066682,Rowandale Integrated Primary School,128,115,243
4610063,Regent House Prep Dept,37,49,86
4620044,"Sullivan Upper School, Prep Dept",81,107,188
4620050,Friend's School Prep Dept,80,80,160
4620051,"Wallace High School, Prep Dept",68,58,126
5010909,Foley County Primary School,30,23,53
5010992,Lurgan Model Primary School,126,97,223
5011019,Mullaglass Primary School,31,51,82
5011095,Mullavilly Primary School,74,64,138
5011112,Hardy Memorial Primary School,227,205,432
5011115,Armstrong Primary School,259,255,514
5011116,Tandragee Primary School,165,176,341
5011117,Drumsallen Primary School,12,11,23
5011119,Darkley Primary School,39,32,71
5011124,"Kings Park Primary School, Lurgan",384,355,739
5011127,"Carrick Primary School, Lurgan",242,223,465
5011129,Hart Memorial Primary School,237,208,445
5011132,Killylea Primary School,34,25,59
5011137,Newtownhamilton Primary School,32,36,68
5011142,Clare Primary School,65,81,146
5011152,Kingsmills Primary School,22,16,38
5011153,Lisnadill Primary School,44,56,100
5011157,Derryhale Primary School,53,34,87
5011161,Mountnorris Primary School,43,47,90
5011165,Rich Mount Primary School,64,59,123
5011174,Birches Primary School,85,90,175
5011175,Cortamlet Primary School,47,48,95
5011179,Bessbrook Primary School,55,47,102
5011189,"Edenderry Primary School, Portadown",209,187,396
5011190,Tullygally Primary School,98,94,192
5011520,Dromore Road Primary School,50,42,92
5011575,Dromore Central Primary School,319,370,689
5011594,Abercorn Primary School,188,198,386
5011596,Gilford Primary School,41,50,91
5011598,Waringstown Primary School,216,213,429
5011602,Bleary Primary School,64,69,133
5011611,Iveagh Primary School,151,125,276
5011617,Ballydown Primary School,167,176,343
5011649,Kilkeel Primary School,237,207,444
5011651,Milltown Primary School,31,27,58
5011664,Scarva Primary School,50,35,85
5011684,Annalong Primary School,79,78,157
5011687,Maralin Village Primary School,149,152,301
5012280,Moneymore Primary School,124,108,232
5012538,Churchill Primary School,34,37,71
5012611,Lisfearty Primary School,17,10,27
5012615,Ballytrea Primary School,39,37,76
5012621,Aughnacloy Primary School,70,65,135
5012632,Donaghmore Primary School,39,21,60
5012635,Augher Central Primary,45,40,85
5012636,Moy Regional Primary School,40,35,75
5012643,Stewartstown Primary School,25,24,49
5012646,Howard Primary School,159,165,324
5012649,Coagh Primary School,46,41,87
5012657,Walker Memorial Primary School,35,32,67
5012696,Carntall Primary School,35,37,72
5012719,Newmills Primary School,39,46,85
5012720,Dungannon Primary School,157,110,267
5012726,Cookstown Primary School,250,222,472
5013019,"Edenderry Primary School, Banbridge",205,201,406
5013702,Woods Primary School,88,92,180
5016007,Millington Primary School,305,358,663
5016027,Drumhillery Primary School,44,42,86
5016065,Dickson Primary School,123,99,222
5016078,Poyntzpass Primary School,55,57,112
5016079,The Cope Primary School,55,55,110
5016080,Drumgor Primary School,184,148,332
5016088,Fivemiletown Primary School,101,87,188
5016098,Brackenagh West Primary School,88,83,171
5016117,Ballyoran Primary School,142,128,270
5016138,Bocombra Primary School,182,173,355
5016141,Churchtown Primary School,20,10,30
5016178,Donacloney Primary School,126,123,249
5016179,Hamiltonsbawn Primary School,45,63,108
5016200,"Queen Elizabeth II Primary School, Pomeroy",25,11,36
5016221,Orritor Primary School,99,100,199
5016224,Donaghey Primary School,47,37,84
5016391,Bush Primary School,91,130,221
5016436,Markethill Primary School,146,178,324
5016451,Windsor Hill Primary School,111,114,225
5016543,Moyallon Primary School,103,99,202
5016599,Fair Hill Primary School,168,162,330
5016612,Bronte Primary School,91,105,196
5016616,Drumadonnell Primary School,126,122,248
5016643,Richmond Primary School,58,59,117
5016658,Orchard County Primary School,91,94,185
5016680,Killyman Primary School,96,82,178
5030958,"St John's Primary School, Eglish",25,27,52
5030972,"St Oliver Plunkett's Primary School, Forkhill",87,56,143
5030975,"St Malachy's Primary School, Ballymoyer",32,37,69
5031070,"St Michael's Primary School, N'hamilton",43,28,71
5031080,Clintyclay Primary School,10,23,33
5031086,Clonalig Primary School,94,87,181
5031088,Dromintee Primary School,107,80,187
5031103,Tannaghmore Primary School,320,323,643
5031107,"St Teresa's Primary School, Tullyherron",18,32,50
5031108,Clea Primary School,49,48,97
5031110,Christian Brothers' Primary School,283,233,516
5031126,Mount St Catherine's Primary School,108,119,227
5031130,Cloughoge Primary School,227,222,449
5031133,"St Malachy's Primary School, Armagh",98,108,206
5031135,"St Olivers' Primary School, Carrickravaddy",31,22,53
5031138,"St Joseph's Primary School, Madden",63,72,135
5031146,Anamar Primary School,19,9,28
5031148,"St Patrick's Primary School, Crossmaglen",205,200,405
5031154,Killean Primary School,67,64,131
5031158,"St Patrick's Primary School, Newry",231,219,450
5031160,"St Teresa's Primary School, Lurgan",98,96,194
5031163,"St Brigid's Primary School, G'drummond",100,99,199
5031164,"St Mary's Primary School, Maghery",31,33,64
5031166,"St Michael's Primary School, Clady",29,20,49
5031167,"St James' Primary School, Drumatee",6,9,15
5031168,"St Patrick's Primary School, Aghacommon",130,108,238
5031169,"St Brigid's Primary School, Drumilly",63,58,121
5031172,"St Mary's Primary School, Granemore",96,114,210
5031176,"St Peter's Primary School, Cloughreagh",170,180,350
5031183,"St Patrick's Primary School, Armagh",269,236,505
5031184,"St Anthony's Primary School, Craigavon",346,343,689
5031188,"St Joseph's Primary School, Meigh",96,97,193
5031318,"Killowen Primary School, Rostrevor",26,39,65
5031325,"St Joseph's Primary School, Ballymartin",43,48,91
5031340,"St Joseph's Convent Primary School, Newry",261,236,497
5031516,Moneydarragh Primary School,44,38,82
5031558,Ballyholland Primary School,119,102,221
5031589,Grange Primary School,55,51,106
5031609,"Carrick Primary School, Warenpoint",206,194,400
5031653,"St Matthew's Primary School, Magheramayo",33,45,78
5031667,"St Patrick's Primary School, Maralin",71,70,141
5031669,"St John's Primary School, Gilford",68,53,121
5031694,"Holy Cross Primary School, Kilkeel",57,53,110
5031695,"St Mary's Primary School, Barr",75,77,152
5031697,"St Patrick's Primary School, Mayobridge",194,203,397
5032208,Ballylifford Primary School,38,27,65
5032262,Lissan Primary School,67,58,125
5032306,"St Malachy's Primary School, Glencull",36,22,58
5032387,Derrylatinee Primary School,40,39,79
5032463,Blessed Patrick O'loughran Primary School,49,36,85
5032558,Laghey Primary School,43,48,91
5032585,Edendork Primary School,152,165,317
5032591,Roan St Patrick's Primary School,58,63,121
5032592,"St Mary's Primary School, Lisbuoy",39,41,80
5032624,"St Macartan's Primary School, Clogher",27,34,61
5032678,"St Patrick's Primary School, Donaghmore",104,104,208
5032692,"St Mary's Primary School, Stewartstown",49,39,88
5032697,"St Patrick's Primary School, Aughadarragh",38,40,78
5032698,"St Brigid's Primary School, Mountjoy",61,67,128
5032699,"St Mary's Primary School, Dunamore",92,97,189
5032703,"St Peters' Primary School, Moortown",98,97,195
5032713,Derrychrin Primary School,81,78,159
5032714,"Holy Family Primary School, Aughamullan",36,28,64
5032715,"St John's Primary School, Moy",85,103,188
5032717,"St Patrick's Primary School, Mullinahoe",112,120,232
5032727,"St Brigid's Primary School, Augher",10,7,17
5032729,"St John's Primary School, Kingisland",67,67,134
5032734,"St Mary's Primary School, Cabra",106,93,199
5032735,"St Mary's Primary School, Ballygawley",63,56,119
5032736,"St Mary's Primary School, Fivemiletown",16,12,28
5033003,"St Paul's Primary School, Cabra",37,47,84
5033004,"St Mary's Primary School, Rathfriland",48,68,116
5033006,"St Michael's Primary School, Finnis",38,38,76
5033011,"St Mary's Primary School, Dechomet",45,38,83
5033025,"St Patrick's Primary School, Ballymaghery",169,158,327
5033324,"St Patrick's Primary School, Derrynaseer",56,46,102
5036000,"St Colman's Primary School, Dromore",59,47,106
5036001,"St Mary's Primary School, Glassdrumman",19,16,35
5036006,"St Mary's Primary School, Derrymore",81,86,167
5036009,"St Mary's Primary School, Derrytrasna",48,55,103
5036031,"St Patrick's Primary School, Loup",78,88,166
5036033,"St Joseph's Primary School, Galbally",114,107,221
5036043,"St Mary's Primary School, Banbridge",262,247,509
5036047,"St Patrick's Primary School, Annaghmore",115,118,233
5036057,"St Malachy's Primary School, Drumullan",32,24,56
5036061,"St Colman's Primary School, Annaclone",100,106,206
5036064,"St Malachy's Primary School, C'croppan",165,154,319
5036087,"St Mary's Primary School, Mullaghbawn",155,159,314
5036099,"St Patrick's Primary School, Cullyhanna",106,117,223
5036101,St Brendan's Primary School,241,223,464
5036108,"St Joseph's Primary School, Killeenan",49,59,108
5036110,"St Joseph's Primary School, Bessbrook",208,156,364
5036118,"St Mary's Primary School, Pomeroy",102,79,181
5036120,"St Patrick's Primary School, Moneymore",37,37,74
5036121,St Jarlath's Primary School,97,79,176
5036122,Jonesborough Primary School,60,48,108
5036130,St Laurence O'Toole's Primary School,26,35,61
5036136,"Sacred Heart Primary School, Rock",62,53,115
5036173,"St John the Baptist Primary School, Portadown",224,220,444
5036180,"St Oliver Plunkett's Primary School, Ballyhegan",46,61,107
5036363,"St Mary's Primary School, Aughnacloy",49,54,103
5036400,"St Colman's Primary School, Bann",63,63,126
5036409,"St Ronan's Primary School, Newry",203,194,397
5036433,"St Malachy's Primary School, Carnagat",145,155,300
5036457,"St Francis' Primary School, Aghaderg",77,91,168
5036463,"St Joseph's Primary School, Caledon",17,24,41
5036504,"St Patrick's Primary School, Dungannon",405,450,855
5036545,"St Colmans' Primary School, Kilkeel",121,102,223
5036567,"Holy Trinity Primary School, Cookstown",337,345,682
5036572,"St Colman's Primary School, Saval",102,96,198
5036583,"St Dallan's Primary School, Warrenpoint",249,257,506
5036586,Presentation Primary School,148,134,282
5036590,Primate Dixon Primary School,269,264,533
5036595,"St Peter's Primary School, Collegelands",80,70,150
5036598,"Our Lady's Primary School, Tullysaran",85,80,165
5036605,"St Patrick's Primary School, Drumgreenagh",37,39,76
5036610,St Francis' of  Assisi Primary School,81,89,170
5036622,"St John's Primary School, Middletown",98,98,196
5036633,"St Francis' Primary School, Lurgan",406,407,813
5036634,"St Clare's Abbey Primary School, Newry",241,259,500
5036639,Our Lady's and St Mochua's Primary School,100,87,187
5036673,St Bronagh's Primary School,86,101,187
5036675,St Joseph's and St James' Primary School,63,74,137
5046137,Seagoe Primary School,214,146,360
5046241,Drelincourt Infants School,17,9,26
5046597,Bunscoil an Iuir,40,49,89
5046637,Gaelscoil U? Neill,99,82,181
5046692,Gaelscoil Na mBeann,23,31,54
5046695,Gaelscoil Aodha Rua,49,57,106
5046699,Gaelscoil Eoghain,52,50,102
5056013,Kilbroney Integrated Primary School,79,76,155
5066540,Bridge Integrated Primary School,219,194,413
5066553,Portadown Integrated Primary School,174,185,359
5066554,Windmill Integrated Primary School,133,115,248
5066578,Saints & Scholars Int Primary School,124,115,239
5066657,Phoenix Integrated Primary School,103,112,215
5620263,Royal School,32,24,56
