DE ref,Schoolname,male,female,total pupils
2031828,"St Patrick's Primary School, Mullanaskea",110,97,207
2031863,Tattygar Primary School,38,37,75
2031868,"St Tierney's Primary School, Roslea",42,65,107
2031869,"St Mary's Primary School, Newtownbutler",102,78,180
2031874,"St Patrick's Primary School, Derrygonnelly",66,57,123
2031876,"St Mary's Primary School, Brookeborough",30,27,57
2031880,"St Ninnidh's Primary School, Derrylin",69,64,133
2031884,"St Mary's Primary School, Killesher",38,43,81
2031887,"St John the Baptist Primary School, Enniskillen",24,22,46
2031890,"St Mary's Primary School, Mullymesker",71,61,132
2031895,"St Mary's Primary School, Maguiresbridge",36,59,95
2031897,Killyhommon Primary School,41,32,73
2031898,"St Paul's Primary School, Irvinestown",117,114,231
2031901,"St Ronan's Primary School, Lisnaskea",184,175,359
2032212,Glendermott Primary School,75,79,154
2032263,"St Canice's Primary School, Feeny",62,54,116
2032278,Broadbridge Primary School,231,200,431
2032286,"St Matthew's Primary School, Limavady",38,45,83
2032287,Termoncanice Primary School,272,256,528
2032294,"St Mary's Primary School, Altinure",84,81,165
2032300,Listress Primary School,14,9,23
2032473,Magheralough Primary School,10,13,23
2032573,"St Brigid's Primary School, Altamuskin",36,22,58
2032603,Tummery Primary School,26,18,44
2032607,"St Mary's Primary School, Killyclogher",183,205,388
2032612,"St Matthew's Primary School, Garvaghey",14,13,27
2032628,Knocknagor Primary School,32,36,68
2032639,Drumduff Primary School,26,20,46
2032662,"St Brigid's Primary School, Mountfield",21,17,38
2032676,"St Patrick's Primary School, Gortin",40,43,83
2032677,Drumlish Primary School,31,31,62
2032682,"St Eugene's Primary School, Victoria Bridge",29,33,62
2032683,"St Joseph's Primary School, Glenmornan",18,20,38
2032684,St Lawrence's Primary School,150,112,262
2032685,"St Brigid's Primary School, Cranagh",9,13,22
2032688,"St Eugene's Primary School, Tyrcur",14,17,31
2032694,St Caireall's Primary School,48,44,92
2032700,"St Joseph's Primary School, Drumquin",70,66,136
2032704,Recarson Primary School,55,51,106
2032705,"St Patrick's Primary School, Eskra",47,48,95
2032721,"Sacred Heart Primary School, Tattyreagh",44,36,80
2032722,Altishane Primary School,5,11,16
2032723,Roscavey Primary School,36,22,58
2032724,Loughash Primary School,20,17,37
2032730,"St Columba's Primary School, Clady",70,79,149
2032731,"St Teresa's Primary School, Loughmacrory",85,72,157
2032737,"St Columbkille's Primary School, Carrickmore",189,141,330
2033706,Faughanvale Primary School,105,92,197
2033707,Mullabuoy Primary School,42,40,82
2033708,St Aidan's Primary School Magilligan,33,30,63
2036008,"St Patrick's Primary School, Newtownstewart",68,58,126
2036032,"St John's Primary School, Bligh's Lane",289,274,563
2036045,"St Canice's Primary School, Dungiven",151,175,326
2036069,"St Anne's Primary School, Derry",239,262,501
2036070,"St Joseph's Primary School, Ederney",96,58,154
2036082,"St Colmcilles Primary School, Claudy",136,127,263
2036084,Steelstown Primary School,202,174,376
2036085,St Peter's & St Paul's Primary School,27,15,42
2036090,"St Naile's Primary School, Kinawley",53,42,95
2036094,"St Patrick's Primary School, Castlederg",157,163,320
2036095,"St Mary's Primary School, Cloughcor",100,83,183
2036097,"St Peter's Primary School, Plumbridge",43,34,77
2036105,St Martin's Primary School,50,41,91
2036107,"St Joseph's Primary School, Lisnaskea",49,45,94
2036116,"St Conor's Primary School, Omagh",216,222,438
2036142,"St Brigid's Primary School, Carnhill",177,186,363
2036143,"St Oliver Plunkett Primary School, Strathfoyle",108,114,222
2036149,"St Finlough's Primary School, Sistrakeel",41,38,79
2036153,St Scire's Primary School,63,55,118
2036181,"St Mary's Primary School, Teemore",44,48,92
2036186,"St Dympna's Primary School, Dromore,",96,109,205
2036187,"St John's Primary School, Dernaflaw",71,60,131
2036213,"St Columban's Primary School, Belcoo",58,45,103
2036227,"St Paul's Primary School, Slievemore",83,82,165
2036247,"St Columba's Primary School, Newbuildings",33,30,63
2036258,"St Davog's Primary School, Belleek",45,51,96
2036259,"Sacred Heart Primary School, Trench Road",214,183,397
2036288,Good Shepherd Primary School,208,228,436
2036291,"St Oliver Plunkett Primary School, Beragh",49,55,104
2036356,"St Mary's Primary School, Tempo",60,66,126
2036387,"St Patrick's Primary School, Donemana",12,24,36
2036415,"Our Lady of Lourdes Primary School, Omagh",60,54,114
2036449,"Christ The King Primary School, Omagh",104,98,202
2036458,"St Mary?s Primary School, Gortnaghey",36,35,71
2036459,"St Theresa's Primary School, Glebe",39,62,101
2036461,"St Therese's Primary School, Lenamore",190,176,366
2036465,Chapel Road Primary School,96,111,207
2036472,"Holy Family Primary School, Ballymagroarty",234,257,491
2036473,"St Eithne's Primary School, Ballymagroarty",222,196,418
2036475,Longtower Primary School,123,146,269
2036533,Hollybush Primary School,235,215,450
2036555,"St Eugene's Primary School, Londonderry",82,81,163
2036557,All Saints Primary School,57,53,110
2036574,Bunscoil Cholmcille,55,53,108
2036581,"St Patrick's Primary School, Pennyburn",435,432,867
2036632,"Holy Trinity Primary School, Enniskillen",366,339,705
2036659,"St Macartan's Primary School, Roslea",62,59,121
2036674,"Holy Family Primary School, Omagh",174,210,384
2036696,"St Mary's Primary School, Strabane",385,360,745
2036703,St Catherine?s Primary School,233,267,500
2046638,Gaelscoil U? Dhochartaigh,90,80,170
2046646,Gaelscoil Eadain Mhoir,71,78,149
2046669,Bunscoil an Traonaigh,22,22,44
2046677,Gaelscoil na gCrann,65,92,157
2046687,Gaelscoil na Daroige,34,32,66
2046689,Gaelscoil Leim an Mhadaidh,41,41,82
2052035,Groarty Primary School,28,13,41
2066549,Enniskillen Integrated Primary School,163,174,337
2066552,Omagh Integrated Primary School,191,157,348
2066558,Oakgrove Integrated Primary School,237,215,452
2066665,Roe Valley Integrated Primary School,109,79,188
3010404,Tildarg Primary School,40,40,80
3010466,Longstone Primary School,15,17,32
3010470,Carnalbanagh Primary School,14,12,26
3010486,Larne and Inver Primary School,94,106,200
3010553,Carrickfergus Model Primary School,191,209,400
3010558,Duneane Primary School,11,20,31
3010570,Straid Primary School,37,29,66
3010572,Carrowreagh Primary School,53,34,87
3010594,Garryduff Primary School,44,32,76
3010631,Ballyclare Primary School,250,273,523
3010642,Parkgate Primary School,29,35,64
3010646,Olderfleet Primary School,102,79,181
3010696,Woodburn Primary School,101,89,190
3010714,Buick Memorial Primary School,170,150,320
3010726,Dunseverick Primary School,48,54,102
3010741,Creavery Primary School,38,42,80
3010745,Loanends Primary School,98,106,204
3010754,Doagh Primary School,36,51,87
3010779,Thompson Primary School,100,89,189
3010780,Kirkinriola Primary School,20,16,36
3010781,Harryville Primary School,68,61,129
