DE ref,Schoolname,total enrolment,fsme,free school meals
4016417,Maghaberry Primary School,275,21,7.60%
4016430,Ballymagee Primary School,428,71,16.60%
4016441,Ballymacash Primary School,435,118,27.10%
4016503,Brooklands Primary School,556,211,37.90%
4016615,Riverdale Primary School,206,16,7.80%
4016636,Meadow Bridge Primary School,289,23,8.00%
4016649,"Downshire Primary School,Hillsborough",649,30,4.60%
4016650,Cumran Primary School,192,60,31.30%
4016681,Glasswater Primary School,97,15,15.50%
4030573,Ballymacward Primary School,66,26,39.40%
4030823,Ballymacrickett Primary School,393,60,15.30%
4030897,"St Joseph's Primary School, Lisburn",385,53,13.80%
4031231,"St Joseph's Primary School, Ballycruttle",53,16,30.20%
4031328,"Christ The King Primary School, Ballynahinch",112,40,35.70%
4031350,"St Malachy's Primary School, Kilclief",75,15,20.00%
4031485,St Caolan's Primary School,67,9,13.40%
4031526,"St Patrick's Primary School, Saul",183,24,13.10%
4031531,"St Francis' Primary School, Drumaroad",94,25,26.60%
4031550,"St Joseph's Primary School, Crossgar",89,15,16.90%
4031628,"St Patrick's Primary School, Holywood",295,58,19.70%
4031660,"St Joseph's Primary School, Carryduff",483,25,5.20%
4031662,"St Mary's Primary School, Comber",71,11,15.50%
4031663,"St Joseph's Primary School, Carnacaville",195,40,20.50%
4031665,"St Patrick's Primary School, Ballynahinch",282,105,37.20%
4031671,"St Patrick's Primary School, Castlewellan",69,15,21.70%
4031672,"St Mary's Primary School, Saintfield",57,5,8.80%
4031673,"St Mary's Primary School, Ardglass",83,18,21.70%
4031676,"St Bernard's Primary School, Belfast",429,26,6.10%
4033002,"St Mary's Primary School, Aughlisnafin",167,37,22.20%
4033005,"St Joseph's Primary School, Strangford",56,8,14.30%
4033007,"St Macartan's Primary School, Downpatrick",197,25,12.70%
4033008,"St Anne's Primary School, Donaghadee",43,20,46.50%
4033012,The Holy Family Primary School,199,35,17.60%
4033017,St Finian's Primary School,141,41,29.10%
4033028,"St Patrick's Primary School, Portaferry",115,11,9.60%
4033036,"St Mary's Primary School, Killyleagh",85,27,31.80%
4033037,"St Joseph's Primary School, Tyrella",80,17,21.30%
4033040,"St Brigid's Primary School, Downpatrick",278,101,36.30%
4033306,St Aloysius Primary School,444,143,32.20%
4033307,"St Colman's Primary School, Lisburn",395,58,14.70%
4036016,"St Joseph's Primary School, Killough",59,35,59.30%
4036036,"St Malachy's Primary School, Kilcoo",173,40,23.10%
4036113,"St Nicholas' Primary School, Ardglass",123,72,58.50%
4036133,"Sacred Heart Primary School, Dundrum",43,17,39.50%
4036146,"St Comgall's Primary School, Bangor",309,30,9.70%
4036148,"St Malachy's Primary School, Bangor",430,128,29.80%
4036182,"St Colmcille's Primary School, Downpatrick",214,141,65.90%
4036285,The Good Shepherd Primary School,311,230,74.00%
4036428,"St Mary's Primary School, Kircubbin",154,23,14.90%
4036454,"St Malachy's Primary School, Castlewellan",375,129,34.40%
4036455,"St Patrick's Primary School, Legamaddy",151,44,29.10%
4036480,St Kieran's Primary School,407,328,80.60%
4036530,"St Mary's Primary School, Portaferry",205,48,23.40%
4036591,Our Lady Queen of Peace Primary School,408,88,21.60%
4036618,Christ the Redeemer Primary School,679,330,48.60%
4036635,"St Mary's Primary School, Newcastle",412,157,38.10%
4036642,St Ita's Primary School,661,28,4.20%
4036693,Our Lady and St Patrick Primary School,466,164,35.20%
4036702,Holy Evangelist Primary School,585,395,67.50%
4046600,Scoil na Fuiseoige,132,85,64.40%
4046648,Bunscoil Bheanna Boirche,98,35,35.70%
4051569,Kircubbin Integrated Primary School,204,87,42.60%
4051601,Portaferry Integrated Primary School,63,29,46.00%
4051680,Bangor Central Integrated Primary School,607,200,32.90%
4053009,Annsborough Primary School,39,15,38.50%
4053020,Glencraig Integrated Primary School,215,6,2.80%
4053308,Fort Hill Integrated Primary School,231,115,49.80%
4056541,All Childrens Integrated Primary School,209,53,25.40%
4056709,Killyleagh Primary School,99,44,44.40%
4056710,Loughries Primary School,71,19,26.80%
4066579,Loughview Integrated Primary School,467,46,9.90%
4066588,Cedar Integrated Primary School,215,36,16.70%
4066611,Oakwood Integrated Primary School,201,44,21.90%
4066644,Millennium Integrated Primary School,337,20,5.90%
4066668,Drumlins Integrated Primary School,183,52,28.40%
4066682,Rowandale Integrated Primary School,243,13,5.30%
4610063,Regent House Prep Dept,86,*,*
4620044,"Sullivan Upper School, Prep Dept",188,*,*
4620050,Friend's School Prep Dept,160,*,*
4620051,"Wallace High School, Prep Dept",126,0,0.00%
5010909,Foley County Primary School,53,9,17.00%
5010992,Lurgan Model Primary School,223,100,44.80%
5011019,Mullaglass Primary School,82,16,19.50%
5011095,Mullavilly Primary School,138,30,21.70%
5011112,Hardy Memorial Primary School,432,66,15.30%
5011115,Armstrong Primary School,514,122,23.70%
5011116,Tandragee Primary School,341,80,23.50%
5011117,Drumsallen Primary School,23,5,21.70%
5011119,Darkley Primary School,71,33,46.50%
5011124,"Kings Park Primary School, Lurgan",739,151,20.40%
5011127,"Carrick Primary School, Lurgan",465,196,42.20%
5011129,Hart Memorial Primary School,445,163,36.60%
5011132,Killylea Primary School,59,17,28.80%
5011137,Newtownhamilton Primary School,68,28,41.20%
5011142,Clare Primary School,146,17,11.60%
5011152,Kingsmills Primary School,38,9,23.70%
5011153,Lisnadill Primary School,100,29,29.00%
5011157,Derryhale Primary School,87,11,12.60%
5011161,Mountnorris Primary School,90,17,18.90%
5011165,Rich Mount Primary School,123,34,27.60%
5011174,Birches Primary School,175,42,24.00%
5011175,Cortamlet Primary School,95,24,25.30%
5011179,Bessbrook Primary School,102,46,45.10%
5011189,"Edenderry Primary School, Portadown",396,127,32.10%
5011190,Tullygally Primary School,192,99,51.60%
5011520,Dromore Road Primary School,92,46,50.00%
5011575,Dromore Central Primary School,689,87,12.60%
5011594,Abercorn Primary School,386,116,30.10%
5011596,Gilford Primary School,91,21,23.10%
5011598,Waringstown Primary School,429,35,8.20%
5011602,Bleary Primary School,133,32,24.10%
5011611,Iveagh Primary School,276,70,25.40%
5011617,Ballydown Primary School,343,34,9.90%
5011649,Kilkeel Primary School,444,108,24.30%
5011651,Milltown Primary School,58,24,41.40%
5011664,Scarva Primary School,85,26,30.60%
5011684,Annalong Primary School,157,32,20.40%
5011687,Maralin Village Primary School,301,36,12.00%
5012280,Moneymore Primary School,232,55,23.70%
5012538,Churchill Primary School,71,14,19.70%
5012611,Lisfearty Primary School,27,*,*
5012615,Ballytrea Primary School,76,21,27.60%
5012621,Aughnacloy Primary School,135,32,23.70%
5012632,Donaghmore Primary School,60,11,18.30%
5012635,Augher Central Primary,85,13,15.30%
5012636,Moy Regional Primary School,75,8,10.70%
5012643,Stewartstown Primary School,49,17,34.70%
5012646,Howard Primary School,324,80,24.70%
5012649,Coagh Primary School,87,19,21.80%
5012657,Walker Memorial Primary School,67,18,26.90%
5012696,Carntall Primary School,72,11,15.30%
5012719,Newmills Primary School,85,16,18.80%
5012720,Dungannon Primary School,267,106,39.70%
5012726,Cookstown Primary School,472,164,34.70%
5013019,"Edenderry Primary School, Banbridge",406,100,24.60%
5013702,Woods Primary School,180,23,12.80%
5016007,Millington Primary School,663,253,38.20%
5016027,Drumhillery Primary School,86,22,25.60%
5016065,Dickson Primary School,222,96,43.20%
5016078,Poyntzpass Primary School,112,27,24.10%
5016079,The Cope Primary School,110,20,18.20%
5016080,Drumgor Primary School,332,129,38.90%
5016088,Fivemiletown Primary School,188,44,23.40%
5016098,Brackenagh West Primary School,171,29,17.00%
5016117,Ballyoran Primary School,270,153,56.70%
5016138,Bocombra Primary School,355,22,6.20%
5016141,Churchtown Primary School,30,6,20.00%
5016178,Donacloney Primary School,249,49,19.70%
5016179,Hamiltonsbawn Primary School,108,23,21.30%
5016200,"Queen Elizabeth II Primary School, Pomeroy",36,8,22.20%
5016221,Orritor Primary School,199,43,21.60%
5016224,Donaghey Primary School,84,15,17.90%
5016391,Bush Primary School,221,25,11.30%
5016436,Markethill Primary School,324,89,27.50%
5016451,Windsor Hill Primary School,225,86,38.20%
5016543,Moyallon Primary School,202,8,4.00%
5016599,Fair Hill Primary School,330,43,13.00%
5016612,Bronte Primary School,196,30,15.30%
5016616,Drumadonnell Primary School,248,34,13.70%
5016643,Richmond Primary School,117,24,20.50%
5016658,Orchard County Primary School,185,39,21.10%
5016680,Killyman Primary School,178,28,15.70%
5030958,"St John's Primary School, Eglish",52,16,30.80%
5030972,"St Oliver Plunkett's Primary School, Forkhill",143,47,32.90%
5030975,"St Malachy's Primary School, Ballymoyer",69,26,37.70%
5031070,"St Michael's Primary School, N'hamilton",71,32,45.10%
5031080,Clintyclay Primary School,33,*,*
5031086,Clonalig Primary School,181,53,29.30%
5031088,Dromintee Primary School,187,51,27.30%
5031103,Tannaghmore Primary School,643,191,29.70%
5031107,"St Teresa's Primary School, Tullyherron",50,16,32.00%
5031108,Clea Primary School,97,41,42.30%
5031110,Christian Brothers' Primary School,516,161,31.20%
5031126,Mount St Catherine's Primary School,227,101,44.50%
5031130,Cloughoge Primary School,449,112,24.90%
5031133,"St Malachy's Primary School, Armagh",206,83,40.30%
5031135,"St Olivers' Primary School, Carrickravaddy",53,16,30.20%
5031138,"St Joseph's Primary School, Madden",135,28,20.70%
5031146,Anamar Primary School,28,11,39.30%
5031148,"St Patrick's Primary School, Crossmaglen",405,148,36.50%
5031154,Killean Primary School,131,38,29.00%
5031158,"St Patrick's Primary School, Newry",450,240,53.30%
5031160,"St Teresa's Primary School, Lurgan",194,70,36.10%
5031163,"St Brigid's Primary School, G'drummond",199,71,35.70%
5031164,"St Mary's Primary School, Maghery",64,14,21.90%
5031166,"St Michael's Primary School, Clady",49,11,22.40%
5031167,"St James' Primary School, Drumatee",15,*,*
5031168,"St Patrick's Primary School, Aghacommon",238,40,16.80%
5031169,"St Brigid's Primary School, Drumilly",121,47,38.80%
5031172,"St Mary's Primary School, Granemore",210,32,15.20%
5031176,"St Peter's Primary School, Cloughreagh",350,122,34.90%
5031183,"St Patrick's Primary School, Armagh",505,160,31.70%
5031184,"St Anthony's Primary School, Craigavon",689,264,38.30%
5031188,"St Joseph's Primary School, Meigh",193,73,37.80%
5031318,"Killowen Primary School, Rostrevor",65,6,9.20%
5031325,"St Joseph's Primary School, Ballymartin",91,26,28.60%
5031340,"St Joseph's Convent Primary School, Newry",497,203,40.80%
5031516,Moneydarragh Primary School,82,13,15.90%
5031558,Ballyholland Primary School,221,58,26.20%
5031589,Grange Primary School,106,31,29.20%
5031609,"Carrick Primary School, Warenpoint",400,53,13.30%
5031653,"St Matthew's Primary School, Magheramayo",78,13,16.70%
5031667,"St Patrick's Primary School, Maralin",141,14,9.90%
5031669,"St John's Primary School, Gilford",121,43,35.50%
5031694,"Holy Cross Primary School, Kilkeel",110,28,25.50%
5031695,"St Mary's Primary School, Barr",152,17,11.20%
5031697,"St Patrick's Primary School, Mayobridge",397,77,19.40%
5032208,Ballylifford Primary School,65,18,27.70%
5032262,Lissan Primary School,125,23,18.40%
5032306,"St Malachy's Primary School, Glencull",58,*,*
5032387,Derrylatinee Primary School,79,14,17.70%
5032463,Blessed Patrick O'loughran Primary School,85,33,38.80%
5032558,Laghey Primary School,91,15,16.50%
5032585,Edendork Primary School,317,81,25.60%
5032591,Roan St Patrick's Primary School,121,13,10.70%
5032592,"St Mary's Primary School, Lisbuoy",80,26,32.50%
5032624,"St Macartan's Primary School, Clogher",61,13,21.30%
5032678,"St Patrick's Primary School, Donaghmore",208,51,24.50%
5032692,"St Mary's Primary School, Stewartstown",88,35,39.80%
5032697,"St Patrick's Primary School, Aughadarragh",78,10,12.80%
5032698,"St Brigid's Primary School, Mountjoy",128,26,20.30%
5032699,"St Mary's Primary School, Dunamore",189,58,30.70%
5032703,"St Peters' Primary School, Moortown",195,56,28.70%
5032713,Derrychrin Primary School,159,37,23.30%
5032714,"Holy Family Primary School, Aughamullan",64,18,28.10%
5032715,"St John's Primary School, Moy",188,28,14.90%
5032717,"St Patrick's Primary School, Mullinahoe",232,61,26.30%
5032727,"St Brigid's Primary School, Augher",17,*,*
5032729,"St John's Primary School, Kingisland",134,41,30.60%
5032734,"St Mary's Primary School, Cabra",199,63,31.70%
5032735,"St Mary's Primary School, Ballygawley",119,19,16.00%
5032736,"St Mary's Primary School, Fivemiletown",28,6,21.40%
5033003,"St Paul's Primary School, Cabra",84,16,19.00%
5033004,"St Mary's Primary School, Rathfriland",116,36,31.00%
5033006,"St Michael's Primary School, Finnis",76,13,17.10%
5033011,"St Mary's Primary School, Dechomet",83,22,26.50%
5033025,"St Patrick's Primary School, Ballymaghery",327,95,29.10%
5033324,"St Patrick's Primary School, Derrynaseer",102,23,22.50%
5036000,"St Colman's Primary School, Dromore",106,22,20.80%
5036001,"St Mary's Primary School, Glassdrumman",35,14,40.00%
5036006,"St Mary's Primary School, Derrymore",167,16,9.60%
5036009,"St Mary's Primary School, Derrytrasna",103,7,6.80%
5036031,"St Patrick's Primary School, Loup",166,23,13.90%
5036033,"St Joseph's Primary School, Galbally",221,56,25.30%
5036043,"St Mary's Primary School, Banbridge",509,126,24.80%
5036047,"St Patrick's Primary School, Annaghmore",233,78,33.50%
5036057,"St Malachy's Primary School, Drumullan",56,15,26.80%
5036061,"St Colman's Primary School, Annaclone",206,32,15.50%
5036064,"St Malachy's Primary School, C'croppan",319,94,29.50%
5036087,"St Mary's Primary School, Mullaghbawn",314,79,25.20%
5036099,"St Patrick's Primary School, Cullyhanna",223,105,47.10%
5036101,St Brendan's Primary School,464,166,35.80%
5036108,"St Joseph's Primary School, Killeenan",108,49,45.40%
5036110,"St Joseph's Primary School, Bessbrook",364,153,42.00%
5036118,"St Mary's Primary School, Pomeroy",181,60,33.10%
5036120,"St Patrick's Primary School, Moneymore",74,38,51.40%
5036121,St Jarlath's Primary School,176,38,21.60%
5036122,Jonesborough Primary School,108,33,30.60%
5036130,St Laurence O'Toole's Primary School,61,33,54.10%
5036136,"Sacred Heart Primary School, Rock",115,26,22.60%
5036173,"St John the Baptist Primary School, Portadown",444,168,37.80%
5036180,"St Oliver Plunkett's Primary School, Ballyhegan",107,18,16.80%
5036363,"St Mary's Primary School, Aughnacloy",103,25,24.30%
5036400,"St Colman's Primary School, Bann",126,23,18.30%
5036409,"St Ronan's Primary School, Newry",397,57,14.40%
5036433,"St Malachy's Primary School, Carnagat",300,177,59.00%
5036457,"St Francis' Primary School, Aghaderg",168,33,19.60%
5036463,"St Joseph's Primary School, Caledon",41,12,29.30%
5036504,"St Patrick's Primary School, Dungannon",855,251,29.40%
5036545,"St Colmans' Primary School, Kilkeel",223,108,48.40%
5036567,"Holy Trinity Primary School, Cookstown",682,211,30.90%
5036572,"St Colman's Primary School, Saval",198,42,21.20%
5036583,"St Dallan's Primary School, Warrenpoint",506,159,31.40%
5036586,Presentation Primary School,282,128,45.40%
5036590,Primate Dixon Primary School,533,226,42.40%
5036595,"St Peter's Primary School, Collegelands",150,37,24.70%
5036598,"Our Lady's Primary School, Tullysaran",165,26,15.80%
5036605,"St Patrick's Primary School, Drumgreenagh",76,20,26.30%
5036610,St Francis' of  Assisi Primary School,170,68,40.00%
5036622,"St John's Primary School, Middletown",196,36,18.40%
5036633,"St Francis' Primary School, Lurgan",813,235,28.90%
5036634,"St Clare's Abbey Primary School, Newry",500,171,34.20%
5036639,Our Lady's and St Mochua's Primary School,187,46,24.60%
5036673,St Bronagh's Primary School,187,55,29.40%
5036675,St Joseph's and St James' Primary School,137,25,18.20%
5046137,Seagoe Primary School,360,40,11.10%
5046241,Drelincourt Infants School,26,12,46.20%
5046597,Bunscoil an Iuir,89,36,40.40%
5046637,Gaelscoil U? Neill,181,81,44.80%
5046692,Gaelscoil Na mBeann,54,23,42.60%
5046695,Gaelscoil Aodha Rua,106,34,32.10%
5046699,Gaelscoil Eoghain,102,21,20.60%
5056013,Kilbroney Integrated Primary School,155,63,40.60%
5066540,Bridge Integrated Primary School,413,118,28.60%
5066553,Portadown Integrated Primary School,359,72,20.10%
5066554,Windmill Integrated Primary School,248,109,44.00%
5066578,Saints & Scholars Int Primary School,239,54,22.60%
5066657,Phoenix Integrated Primary School,215,81,37.70%
5620263,Royal School,56,*,*
