DE ref,Schoolname,Protestant,% Protestant,Catholic,% Catholic,Other Christian / non-Christian / no religion / unknown,% Other Christian / non-Christian / no religion / unknown,Enrolment
2011873,Aghadrumsee Primary School,36,90,0,0,4,10,40
2011879,Newtownbutler Primary School,51,96.2,0,0,2,3.8,53
2011881,Florencecourt Primary School,105,84.7,10,8.1,9,7.3,124
2011893,Ballinamallard Primary School,131,81.9,9,5.6,20,12.5,160
2011894,Brookeborough Primary School,#,#,*,*,*,*,71
2011899,Derrygonnelly Primary School,54,79.4,0,0,14,20.6,68
2012052,Culmore Primary School,15,21.4,48,68.6,7,10,70
2012087,Bellarena Primary School,15,44.1,12,35.3,7,20.6,34
2012095,Ballougry Primary School,22,31,47,66.2,2,2.8,71
2012227,Drumahoe Primary School,275,91.1,5,1.7,22,7.3,302
2012245,Eglinton Primary School,164,76.3,20,9.3,31,14.4,215
2012261,Newbuildings Primary School,189,92.6,*,*,#,#,204
2012298,Ballykelly Primary School,134,42.5,157,49.8,24,7.6,315
2012344,McClintock Primary School,73,86.9,*,*,#,#,84
2012378,Dunmullan Primary School,36,100,0,0,0,0,36
2012617,Erganagh Primary School,35,87.5,*,*,*,*,40
2012638,Edwards Primary School,198,86.5,*,*,#,#,229
2012641,Killen Primary School,100,90.9,0,0,10,9.1,110
2012648,Gillygooley Primary School,30,100,0,0,0,0,30
2012660,Denamona Primary School,47,74.6,*,*,#,#,63
2012669,"Queen Elizabeth II Primary School, Omagh",40,88.9,0,0,5,11.1,45
2012671,Langfield Primary School,#,#,*,*,*,*,28
2012691,Omagh County Primary School,211,62.6,41,12.2,85,25.2,337
2012707,Dromore Primary School,41,85.4,*,*,*,*,48
2012708,Strabane Controlled Primary School,91,32.4,162,57.7,28,10,281
2012711,Donemana Primary School,78,75,*,*,#,#,104
2016003,Jones Memorial Primary School,105,58.3,41,22.8,34,18.9,180
2016029,Drumachose Primary School,233,73.3,25,7.9,60,18.9,318
2016068,Artigarvan Primary School,108,72.5,9,6,32,21.5,149
2016071,Greenhaw Primary School,6,1.9,294,93.3,15,4.8,315
2016089,Gibson Primary School,195,62.7,42,13.5,74,23.8,311
2016102,Tempo Primary School,87,83.7,*,*,#,#,104
2016124,Ashlea Primary,#,#,*,*,*,*,83
2016127,Maguiresbridge Primary School,96,83.5,*,*,#,#,115
2016151,Irvinestown Primary School,116,72,21,13,24,14.9,161
2016152,Enniskillen Model Primary School,279,64.6,49,11.3,104,24.1,432
2016184,Lack Primary School,51,96.2,0,0,2,3.8,53
2016203,Lisnagelvin Primary School,364,60.9,85,14.2,149,24.9,598
2016218,Lisbellaw Primary School,204,93.2,*,*,#,#,219
2016262,Newtownstewart Model Primary School,50,80.6,0,0,12,19.4,62
2016372,Cumber Claudy Primary School,124,85.5,*,*,#,#,145
2016395,Gortin Primary School,44,81.5,*,*,#,#,54
2016426,Limavady Central Primary School,331,78.4,20,4.7,71,16.8,422
2016442,Sion Mills Primary School,75,28.8,181,69.6,4,1.5,260
2016564,Fountain Primary School,102,90.3,5,4.4,6,5.3,113
2016645,Bready Jubilee Primary School,89,67.9,*,*,#,#,131
2016656,Drumrane Primary School,125,94.7,0,0,7,5.3,132
2016663,Cooley Primary School,120,87.6,11,8,6,4.4,137
2016700,Gaelscoil NeAchitain,0,0,92,98.9,1,1.1,93
2016701,Ardstraw Jubilee Primary School,63,74.1,0,0,22,25.9,85
2030364,Rosemount Primary School,*,*,#,#,*,*,346
2030373,Nazareth House Primary School,0,0,252,99.6,1,0.4,253
2030381,"Holy Child Primary School, Londonderry",0,0,256,100,0,0,256
2031828,"St Patrick's Primary School, Mullanaskea",0,0,201,97.1,6,2.9,207
2031863,Tattygar Primary School,*,*,#,#,0,0,75
2031868,"St Tierney's Primary School, Roslea",0,0,107,100,0,0,107
2031869,"St Mary's Primary School, Newtownbutler",*,*,#,#,*,*,180
2031874,"St Patrick's Primary School, Derrygonnelly",0,0,117,95.1,6,4.9,123
2031876,"St Mary's Primary School, Brookeborough",0,0,57,100,0,0,57
2031880,"St Ninnidh's Primary School, Derrylin",*,*,#,#,0,0,133
2031884,"St Mary's Primary School, Killesher",0,0,80,98.8,1,1.2,81
2031887,"St John the Baptist Primary School, Enniskillen",*,*,#,#,0,0,46
2031890,"St Mary's Primary School, Mullymesker",0,0,130,98.5,2,1.5,132
2031895,"St Mary's Primary School, Maguiresbridge",0,0,94,98.9,1,1.1,95
2031897,Killyhommon Primary School,*,*,#,#,*,*,73
2031898,"St Paul's Primary School, Irvinestown",9,3.9,220,95.2,2,0.9,231
2031901,"St Ronan's Primary School, Lisnaskea",0,0,355,98.9,4,1.1,359
2032212,Glendermott Primary School,*,*,149,96.8,*,*,154
2032263,"St Canice's Primary School, Feeny",0,0,116,100,0,0,116
2032278,Broadbridge Primary School,*,*,412,95.6,#,#,431
2032286,"St Matthew's Primary School, Limavady",0,0,82,98.8,1,1.2,83
