DE ref,Schoolname,Protestant,% Protestant,Catholic,% Catholic,Other Christian / non-Christian / no religion / unknown,% Other Christian / non-Christian / no religion / unknown,Enrolment
3032273,"St Mary's Primary School, Draperstown",0,0,215,98.6,3,1.4,218
3032274,"St John's Primary School, Swatragh",0,0,206,100,0,0,206
3032275,Greenlough Primary School (St Mary's),*,*,#,#,0,0,186
3032281,"St Mary's Primary School, Bellaghy",0,0,218,99.5,1,0.5,219
3032285,St Patrick's & St Joseph's Primary School,0,0,175,98.9,2,1.1,177
3032297,"St Malachy's Primary School, Coleraine",*,*,207,92.4,#,#,224
3033303,"St Oliver Plunkett Primary School, Antrim",0,0,211,99.5,1,0.5,212
3033304,Tir-na-Nog Primary School,6,25,9,37.5,9,37.5,24
3033313,"St Bernard's Primary School, Newtownabbey",0,0,635,99.2,5,0.8,640
3033317,"St John's Primary School, Carnlough",*,*,#,#,*,*,168
3033320,"St Patrick's Primary School, Rasharkin",0,0,217,97.7,5,2.3,222
3033326,"St Brigid's Primary School, Ballymoney",15,7.4,179,88.2,9,4.4,203
3033709,"St John's Primary School, Coleraine",*,*,148,94.3,#,#,157
3036026,"St Joseph's Primary School, Crumlin",7,1,660,96.4,18,2.6,685
3036039,"St Mary's Primary School, Glenview",5,2.1,230,95,7,2.9,242
3036046,St Mary's-on-The-Hill Primary School,*,*,373,98.7,*,*,378
3036050,"St Joseph's Primary School, Antrim",11,3.5,246,77.8,59,18.7,316
3036100,"St James' Primary School and Nursery Unit, Newtownabbey",45,14.2,221,69.7,51,16.1,317
3036103,"St Brigid's Primary School, Knockloughrim",0,0,257,98.8,3,1.2,260
3036131,"St Patrick's Primary School, Glenariffe",0,0,110,100,0,0,110
3036139,"St Macnissi's Primary School, Newtownabbey",*,*,#,#,0,0,201
3036147,"St Columba's Primary School, Kilrea",0,0,242,98,5,2,247
3036154,"St Patrick's Primary School, Loughgiel",*,*,#,#,*,*,194
3036243,"St Joseph's Primary School, Dunloy",0,0,314,98.7,4,1.3,318
3036268,St Ciaran's Primary School,0,0,44,100,0,0,44
3036292,"St Patrick's Primary School, Glen",0,0,187,98.9,2,1.1,189
3036559,St Patrick's & St Brigid's Primary School,*,*,346,94.5,#,#,366
3036562,"Holy Family Primary School, Magherafelt",*,*,569,96.3,#,#,591
3036563,"St Nicholas' Primary School, Carrickfergus",17,9.6,130,73,31,17.4,178
3036575,"St Macnissi's Primary School, Larne",0,0,214,96.4,8,3.6,222
3036666,"St Colmcille's Primary School, Ballymena",0,0,352,91.9,31,8.1,383
3036679,"St Brigid's Primary School, Ballymena",*,*,396,97.3,#,#,407
3036683,"St Paul's Primary School, Ahoghill",5,6.8,64,86.5,5,6.8,74
3036704,Mary Queen of Peace Primary School,*,*,231,97.5,*,*,237
3042162,Desertmartin Primary School,14,70,0,0,6,30,20
3046653,Gaelscoil an Chaistil,0,0,46,40.7,67,59.3,113
3046678,Gaelscoil na Sp?ir?n?,0,0,48,98,1,2,49
3046684,Gaelscoil Ghleann Darach,0,0,71,95.9,3,4.1,74
3046685,Gaelscoil Eanna,*,*,#,#,*,*,174
3046691,Gaelscoil an tSeancha?,*,*,#,#,*,*,132
3050519,Carnlough Controlled Integrated Primary School,10,31.3,11,34.4,11,34.4,32
3050791,Glengormley Integrated Primary School,68,19.4,138,39.4,144,41.1,350
3050859,Crumlin Controlled Intergrated Primary School,54,32.5,36,21.7,76,45.8,166
3050866,Ballymoney Controlled Integrated Primary School,247,69.6,24,6.8,84,23.7,355
3052071,Carhill Integrated Primary School,44,62,9,12.7,18,25.4,71
3053333,Ballycastle Integrated Primary School,81,40.1,87,43.1,34,16.8,202
3056231,Six Mile Integrated Primary School,38,36.2,38,36.2,29,27.6,105
3056248,Round Tower Integrated Primary School,88,30.8,88,30.8,110,38.5,286
3056708,Mallusk Controlled Integrated Primary School,11,52.4,6,28.6,4,19,21
3066544,Millstrand Integrated Primary School,74,30.2,71,29,100,40.8,245
3066551,Braidside Integrated Primary School,107,34.1,105,33.4,102,32.5,314
3066561,Corran Integrated Primary School,50,31.4,59,37.1,50,31.4,159
3066568,Acorn Integrated Primary School,121,54,67,29.9,36,16.1,224
3066613,Spires Integrated Primary School,63,32.6,86,44.6,44,22.8,193
3066652,Maine Integrated Primary School,25,20.8,62,51.7,33,27.5,120
4010512,McKinney Primary School Dundrod,123,79.9,7,4.5,24,15.6,154
4010720,Ballycarrickmaddy Primary School,117,65,7,3.9,56,31.1,180
4010743,Largymore Primary School,87,49.4,6,3.4,83,47.2,176
4010762,Brownlee Primary School,113,56.5,18,9,69,34.5,200
4010788,Dunmurry Primary School,91,42.9,11,5.2,110,51.9,212
4010807,Lisburn Central Primary School,115,52.3,24,10.9,81,36.8,220
4010882,Seymour Hill Primary School,170,72,*,*,#,#,236
4010885,Tonagh Primary School,205,85.4,16,6.7,19,7.9,240
4011265,Ballyvester Primary School,69,56.1,6,4.9,48,39,123
4011300,Grey Abbey Primary School,51,54.8,0,0,42,45.2,93
4011310,Carrickmannon Primary School,81,78.6,*,*,#,#,103
4011345,Newtownards Model Primary School,278,67.8,6,1.5,126,30.7,410
4011373,Kirkistown Primary School,42,51.9,0,0,39,48.1,81
4011462,Castle Gardens Primary School,164,64.3,*,*,#,#,255
4011488,"Victoria Primary School, Ballyhalbert",74,52.5,0,0,67,47.5,141
4011507,Portavogie Primary School,194,74.3,5,1.9,62,23.8,261
4011566,Ballywalter Primary School,106,63.1,0,0,62,36.9,168
4011567,Ballynahinch Primary School,186,84.5,*,*,#,#,220
4011578,Derryboy Primary School,59,72.8,*,*,#,#,81
4011584,Carr Primary School,36,51.4,*,*,#,#,70
4011587,Dundonald Primary School,502,59.3,55,6.5,289,34.2,846
4011588,Comber Primary School,279,71.9,7,1.8,102,26.3,388
4011599,Castlewellan Primary School,28,54.9,11,21.6,12,23.5,51
4011606,Gilnahirk Primary School,285,67.5,15,3.6,122,28.9,422
4011608,Anahilt Primary School,79,56,*,*,#,#,141
4011619,Dromara Primary School,113,62.4,19,10.5,49,27.1,181
4011631,Holywood Primary School,254,55.5,15,3.3,189,41.3,458
4011632,Cregagh Primary School,77,43.3,10,5.6,91,51.1,178
4011645,Crawfordsburn Primary School,102,48.6,6,2.9,102,48.6,210
4011646,"Victoria Primary School, Newtownards",352,62.9,8,1.4,200,35.7,560
4011650,Ballyholme Primary School,297,47.3,36,5.7,295,47,628
4011654,Donaghadee Primary School,222,48.4,8,1.7,229,49.9,459
4011657,Lisnasharragh Primary School,225,67.4,11,3.3,98,29.3,334
4011670,Clandeboye Primary School,167,50.5,19,5.7,145,43.8,331
4011674,Knockbreda Primary School,101,51.8,7,3.6,87,44.6,195
4011681,Millisle Primary School,153,67.4,0,0,74,32.6,227
4011683,Braniel Primary School,266,60.9,13,3,158,36.2,437
4011698,Newcastle Primary School,78,41.7,48,25.7,61,32.6,187
4011699,Moneyrea Primary School,144,68.9,*,*,#,#,209
4013013,Belvoir Park Primary School,181,61.1,19,6.4,96,32.4,296
4013023,Bloomfield Primary School,133,29.8,*,*,#,#,447
4013024,Cairnshill Primary School,86,15.8,26,4.8,432,79.4,544
4013038,Tullycarnet Primary School,31,67.4,*,*,#,#,46
4013043,Lead Hill Primary School,70,50,5,3.6,65,46.4,140
4013044,Carryduff Primary School,144,70.9,11,5.4,48,23.6,203
4013045,Grange Park Primary School,195,47.6,21,5.1,194,47.3,410
4013046,Alexander Dickson Primary School,65,76.5,*,*,#,#,85
4013305,"Harmony Hill Primary School, Lisburn",352,55.7,44,7,236,37.3,632
4013334,Knockmore Primary School,86,44.8,36,18.8,70,36.5,192
4016002,Kilcooley Primary School,73,41,0,0,105,59,178
4016004,Londonderry Primary School,258,65.2,9,2.3,129,32.6,396
4016020,Carrowdore Primary School,117,66.5,*,*,#,#,176
4016067,Rathmore Primary School,362,56.7,19,3,258,40.4,639
4016083,West Winds Primary School,115,61.8,*,*,#,#,186
4016104,Moira Primary School,254,62.6,55,13.5,97,23.9,406
4016111,Towerview Primary School,236,54.9,12,2.8,182,42.3,430
4016123,Spa Primary School,139,74.7,7,3.8,40,21.5,186
4016126,Andrews Memorial Primary School,219,65.6,*,*,#,#,334
4016144,Old Warren Primary School,115,72.3,6,3.8,38,23.9,159
4016145,"Killowen Primary School, Lisburn",262,56.5,19,4.1,183,39.4,464
4016192,Kilmaine Primary School,284,41.9,13,1.9,381,56.2,678
4016201,Academy Primary School,262,58.6,49,11,136,30.4,447
4016202,Ballinderry Primary School,167,66.3,21,8.3,64,25.4,252
4016235,Downpatrick Primary School,65,30.5,74,34.7,74,34.7,213
4016396,Killinchy Primary School,224,62.6,19,5.3,115,32.1,358
4016399,Abbey Primary School,399,66.7,7,1.2,192,32.1,598
4016401,Pond Park Primary School,402,64.7,57,9.2,162,26.1,621
4016417,Maghaberry Primary School,186,67.6,9,3.3,80,29.1,275
4016430,Ballymagee Primary School,301,70.3,19,4.4,108,25.2,428
4016441,Ballymacash Primary School,272,62.5,9,2.1,154,35.4,435
4016503,Brooklands Primary School,533,95.9,7,1.3,16,2.9,556
4016615,Riverdale Primary School,159,77.2,7,3.4,40,19.4,206
4016636,Meadow Bridge Primary School,220,76.1,10,3.5,59,20.4,289
4016649,"Downshire Primary School,Hillsborough",428,65.9,74,11.4,147,22.7,649
4016650,Cumran Primary School,138,71.9,20,10.4,34,17.7,192
4016681,Glasswater Primary School,52,53.6,14,14.4,31,32,97
4030573,Ballymacward Primary School,0,0,66,100,0,0,66
4030823,Ballymacrickett Primary School,*,*,385,98,#,#,393
4030897,"St Joseph's Primary School, Lisburn",*,*,359,93.2,#,#,385
4031231,"St Joseph's Primary School, Ballycruttle",0,0,53,100,0,0,53
4031328,"Christ The King Primary School, Ballynahinch",0,0,112,100,0,0,112
4031350,"St Malachy's Primary School, Kilclief",0,0,70,93.3,5,6.7,75
4031485,St Caolan's Primary School,0,0,67,100,0,0,67
4031526,"St Patrick's Primary School, Saul",0,0,183,100,0,0,183
4031531,"St Francis' Primary School, Drumaroad",0,0,94,100,0,0,94
4031550,"St Joseph's Primary School, Crossgar",0,0,88,98.9,1,1.1,89
4031628,"St Patrick's Primary School, Holywood",22,7.5,223,75.6,50,16.9,295
4031660,"St Joseph's Primary School, Carryduff",*,*,470,97.3,#,#,483
4031662,"St Mary's Primary School, Comber",24,33.8,31,43.7,16,22.5,71
4031663,"St Joseph's Primary School, Carnacaville",*,*,#,#,0,0,195
4031665,"St Patrick's Primary School, Ballynahinch",10,3.5,249,88.3,23,8.2,282
4031671,"St Patrick's Primary School, Castlewellan",0,0,66,95.7,3,4.3,69
4031672,"St Mary's Primary School, Saintfield",0,0,57,100,0,0,57
4031673,"St Mary's Primary School, Ardglass",0,0,83,100,0,0,83
4031676,"St Bernard's Primary School, Belfast",*,*,415,96.7,#,#,429
4033002,"St Mary's Primary School, Aughlisnafin",0,0,165,98.8,2,1.2,167
4033005,"St Joseph's Primary School, Strangford",0,0,55,98.2,1,1.8,56
4033007,"St Macartan's Primary School, Downpatrick",0,0,195,99,2,1,197
4033008,"St Anne's Primary School, Donaghadee",8,18.6,13,30.2,22,51.2,43
4033012,The Holy Family Primary School,*,*,#,#,*,*,199
4033017,St Finian's Primary School,11,7.8,103,73,27,19.1,141
4033028,"St Patrick's Primary School, Portaferry",*,*,#,#,*,*,115
4033036,"St Mary's Primary School, Killyleagh",*,*,71,83.5,#,#,85
4033037,"St Joseph's Primary School, Tyrella",5,6.3,74,92.5,1,1.3,80
4033040,"St Brigid's Primary School, Downpatrick",0,0,274,98.6,4,1.4,278
4033306,St Aloysius Primary School,6,1.4,399,89.9,39,8.8,444
4033307,"St Colman's Primary School, Lisburn",*,*,384,97.2,#,#,395
4036016,"St Joseph's Primary School, Killough",*,*,54,91.5,*,*,59
4036036,"St Malachy's Primary School, Kilcoo",0,0,171,98.8,2,1.2,173
4036113,"St Nicholas' Primary School, Ardglass",0,0,120,97.6,3,2.4,123
4036133,"Sacred Heart Primary School, Dundrum",0,0,38,88.4,5,11.6,43
4036146,"St Comgall's Primary School, Bangor",*,*,284,91.9,#,#,309
4036148,"St Malachy's Primary School, Bangor",132,30.7,116,27,182,42.3,430
4036182,"St Colmcille's Primary School, Downpatrick",0,0,208,97.2,6,2.8,214
4036285,The Good Shepherd Primary School,0,0,311,100,0,0,311
4036428,"St Mary's Primary School, Kircubbin",*,*,#,#,*,*,154
4036454,"St Malachy's Primary School, Castlewellan",*,*,#,#,*,*,375
4036455,"St Patrick's Primary School, Legamaddy",0,0,151,100,0,0,151
4036480,St Kieran's Primary School,0,0,407,100,0,0,407
4036530,"St Mary's Primary School, Portaferry",*,*,198,96.6,#,#,205
4036591,Our Lady Queen of Peace Primary School,0,0,408,100,0,0,408
4036618,Christ the Redeemer Primary School,0,0,679,100,0,0,679
4036635,"St Mary's Primary School, Newcastle",0,0,408,99,4,1,412
4036642,St Ita's Primary School,*,*,618,93.5,#,#,661
4036693,Our Lady and St Patrick Primary School,*,*,457,98.1,#,#,466
4036702,Holy Evangelist Primary School,0,0,583,99.7,2,0.3,585
4046600,Scoil na Fuiseoige,0,0,132,100,0,0,132
4046648,Bunscoil Bheanna Boirche,0,0,95,96.9,3,3.1,98
4051569,Kircubbin Integrated Primary School,92,45.1,33,16.2,79,38.7,204
4051601,Portaferry Integrated Primary School,21,33.3,31,49.2,11,17.5,63
4051680,Bangor Central Integrated Primary School,338,55.7,89,14.7,180,29.7,607
4053009,Annsborough Primary School,5,12.8,31,79.5,3,7.7,39
4053020,Glencraig Integrated Primary School,96,44.7,70,32.6,49,22.8,215
4053308,Fort Hill Integrated Primary School,150,64.9,44,19,37,16,231
4056541,All Childrens Integrated Primary School,34,16.3,116,55.5,59,28.2,209
4056709,Killyleagh Primary School,58,58.6,10,10.1,31,31.3,99
4056710,Loughries Primary School,44,62,*,*,#,#,71
4066579,Loughview Integrated Primary School,169,36.2,180,38.5,118,25.3,467
4066588,Cedar Integrated Primary School,56,26,100,46.5,59,27.4,215
4066611,Oakwood Integrated Primary School,46,22.9,90,44.8,65,32.3,201
4066644,Millennium Integrated Primary School,113,33.5,127,37.7,97,28.8,337
4066668,Drumlins Integrated Primary School,61,33.3,52,28.4,70,38.3,183
4066682,Rowandale Integrated Primary School,82,33.7,109,44.9,52,21.4,243
4610063,Regent House Prep Dept,52,60.5,*,*,#,#,86
4620044,"Sullivan Upper School, Prep Dept",90,47.9,17,9,81,43.1,188
4620050,Friend's School Prep Dept,107,66.9,15,9.4,38,23.8,160
4620051,"Wallace High School, Prep Dept",75,59.5,5,4,46,36.5,126
5010909,Foley County Primary School,0,0,53,100,0,0,53
5010992,Lurgan Model Primary School,11,4.9,174,78,38,17,223
5011019,Mullaglass Primary School,80,97.6,0,0,2,2.4,82
5011095,Mullavilly Primary School,112,81.2,*,*,#,#,138
5011112,Hardy Memorial Primary School,346,80.1,17,3.9,69,16,432
5011115,Armstrong Primary School,333,64.8,65,12.6,116,22.6,514
5011116,Tandragee Primary School,271,79.5,8,2.3,62,18.2,341
5011117,Drumsallen Primary School,23,100,0,0,0,0,23
5011119,Darkley Primary School,*,*,#,#,0,0,71
5011124,"Kings Park Primary School, Lurgan",441,59.7,41,5.5,257,34.8,739
5011127,"Carrick Primary School, Lurgan",159,34.2,193,41.5,113,24.3,465
5011129,Hart Memorial Primary School,297,66.7,37,8.3,111,24.9,445
5011132,Killylea Primary School,56,94.9,0,0,3,5.1,59
5011137,Newtownhamilton Primary School,54,79.4,0,0,14,20.6,68
5011142,Clare Primary School,121,82.9,*,*,#,#,146
5011152,Kingsmills Primary School,35,92.1,0,0,3,7.9,38
5011153,Lisnadill Primary School,75,75,*,*,#,#,100
5011157,Derryhale Primary School,68,78.2,*,*,#,#,87
5011161,Mountnorris Primary School,77,85.6,*,*,#,#,90
5011165,Rich Mount Primary School,96,78,5,4.1,22,17.9,123
5011174,Birches Primary School,157,89.7,0,0,18,10.3,175
5011175,Cortamlet Primary School,89,93.7,0,0,6,6.3,95
5011179,Bessbrook Primary School,75,73.5,16,15.7,11,10.8,102
5011189,"Edenderry Primary School, Portadown",266,67.2,34,8.6,96,24.2,396
5011190,Tullygally Primary School,0,0,152,79.2,40,20.8,192
5011520,Dromore Road Primary School,20,21.7,42,45.7,30,32.6,92
5011575,Dromore Central Primary School,503,73,13,1.9,173,25.1,689
5011594,Abercorn Primary School,298,77.2,10,2.6,78,20.2,386
5011596,Gilford Primary School,73,80.2,11,12.1,7,7.7,91
5011598,Waringstown Primary School,335,78.1,15,3.5,79,18.4,429
5011602,Bleary Primary School,87,65.4,9,6.8,37,27.8,133
5011611,Iveagh Primary School,207,75,13,4.7,56,20.3,276
5011617,Ballydown Primary School,272,79.3,16,4.7,55,16,343
5011649,Kilkeel Primary School,353,79.5,16,3.6,75,16.9,444
5011651,Milltown Primary School,41,70.7,*,*,#,#,58
5011664,Scarva Primary School,75,88.2,*,*,#,#,85
5011684,Annalong Primary School,130,82.8,6,3.8,21,13.4,157
5011687,Maralin Village Primary School,232,77.1,11,3.7,58,19.3,301
5012280,Moneymore Primary School,203,87.5,8,3.4,21,9.1,232
5012538,Churchill Primary School,64,90.1,0,0,7,9.9,71
5012611,Lisfearty Primary School,27,100,0,0,0,0,27
5012615,Ballytrea Primary School,61,80.3,0,0,15,19.7,76
5012621,Aughnacloy Primary School,134,99.3,0,0,1,0.7,135
5012632,Donaghmore Primary School,49,81.7,*,*,#,#,60
5012635,Augher Central Primary,74,87.1,0,0,11,12.9,85
5012636,Moy Regional Primary School,56,74.7,5,6.7,14,18.7,75
5012643,Stewartstown Primary School,41,83.7,*,*,*,*,49
5012646,Howard Primary School,221,68.2,*,*,#,#,324
5012649,Coagh Primary School,70,80.5,*,*,#,#,87
5012657,Walker Memorial Primary School,57,85.1,0,0,10,14.9,67
5012696,Carntall Primary School,65,90.3,0,0,7,9.7,72
5012719,Newmills Primary School,72,84.7,0,0,13,15.3,85
5012720,Dungannon Primary School,62,23.2,161,60.3,44,16.5,267
5012726,Cookstown Primary School,242,51.3,50,10.6,180,38.1,472
5013019,"Edenderry Primary School, Banbridge",291,71.7,22,5.4,93,22.9,406
5013702,Woods Primary School,150,83.3,5,2.8,25,13.9,180
5016007,Millington Primary School,423,63.8,78,11.8,162,24.4,663
5016027,Drumhillery Primary School,#,#,*,*,*,*,86
5016065,Dickson Primary School,129,58.1,14,6.3,79,35.6,222
5016078,Poyntzpass Primary School,86,76.8,*,*,#,#,112
5016079,The Cope Primary School,104,94.5,*,*,#,#,110
5016080,Drumgor Primary School,90,27.1,118,35.5,124,37.3,332
5016088,Fivemiletown Primary School,150,79.8,17,9,21,11.2,188
5016098,Brackenagh West Primary School,152,88.9,*,*,#,#,171
5016117,Ballyoran Primary School,10,3.7,215,79.6,45,16.7,270
5016138,Bocombra Primary School,265,74.6,27,7.6,63,17.7,355
5016141,Churchtown Primary School,27,90,0,0,3,10,30
5016178,Donacloney Primary School,209,83.9,*,*,#,#,249
5016179,Hamiltonsbawn Primary School,92,85.2,*,*,#,#,108
5016200,"Queen Elizabeth II Primary School, Pomeroy",33,91.7,0,0,3,8.3,36
5016221,Orritor Primary School,175,87.9,*,*,#,#,199
5016224,Donaghey Primary School,73,86.9,0,0,11,13.1,84
5016391,Bush Primary School,177,80.1,22,10,22,10,221
5016436,Markethill Primary School,275,84.9,9,2.8,40,12.3,324
5016451,Windsor Hill Primary School,91,40.4,47,20.9,87,38.7,225
5016543,Moyallon Primary School,158,78.2,*,*,#,#,202
5016599,Fair Hill Primary School,284,86.1,11,3.3,35,10.6,330
5016612,Bronte Primary School,164,83.7,6,3.1,26,13.3,196
5016616,Drumadonnell Primary School,221,89.1,*,*,#,#,248
5016643,Richmond Primary School,97,82.9,*,*,#,#,117
5016658,Orchard County Primary School,163,88.1,0,0,22,11.9,185
5016680,Killyman Primary School,159,89.3,0,0,19,10.7,178
5030958,"St John's Primary School, Eglish",0,0,52,100,0,0,52
5030972,"St Oliver Plunkett's Primary School, Forkhill",0,0,141,98.6,2,1.4,143
5030975,"St Malachy's Primary School, Ballymoyer",*,*,#,#,*,*,69
5031070,"St Michael's Primary School, N'hamilton",0,0,63,88.7,8,11.3,71
5031080,Clintyclay Primary School,0,0,33,100,0,0,33
5031086,Clonalig Primary School,0,0,180,99.4,1,0.6,181
5031088,Dromintee Primary School,*,*,#,#,0,0,187
5031103,Tannaghmore Primary School,0,0,643,100,0,0,643
5031107,"St Teresa's Primary School, Tullyherron",0,0,50,100,0,0,50
5031108,Clea Primary School,0,0,97,100,0,0,97
5031110,Christian Brothers' Primary School,0,0,513,99.4,3,0.6,516
5031126,Mount St Catherine's Primary School,*,*,174,76.7,#,#,227
5031130,Cloughoge Primary School,5,1.1,431,96,13,2.9,449
5031133,"St Malachy's Primary School, Armagh",*,*,201,97.6,*,*,206
5031135,"St Olivers' Primary School, Carrickravaddy",0,0,53,100,0,0,53
5031138,"St Joseph's Primary School, Madden",0,0,135,100,0,0,135
5031146,Anamar Primary School,0,0,28,100,0,0,28
5031148,"St Patrick's Primary School, Crossmaglen",0,0,405,100,0,0,405
5031154,Killean Primary School,0,0,131,100,0,0,131
5031158,"St Patrick's Primary School, Newry",0,0,443,98.4,7,1.6,450
5031160,"St Teresa's Primary School, Lurgan",*,*,#,#,*,*,194
5031163,"St Brigid's Primary School, G'drummond",0,0,197,99,2,1,199
5031164,"St Mary's Primary School, Maghery",0,0,64,100,0,0,64
5031166,"St Michael's Primary School, Clady",0,0,49,100,0,0,49
5031167,"St James' Primary School, Drumatee",0,0,14,93.3,1,6.7,15
5031168,"St Patrick's Primary School, Aghacommon",0,0,236,99.2,2,0.8,238
5031169,"St Brigid's Primary School, Drumilly",*,*,#,#,0,0,121
5031172,"St Mary's Primary School, Granemore",0,0,208,99,2,1,210
5031176,"St Peter's Primary School, Cloughreagh",0,0,350,100,0,0,350
5031183,"St Patrick's Primary School, Armagh",*,*,486,96.2,#,#,505
5031184,"St Anthony's Primary School, Craigavon",0,0,677,98.3,12,1.7,689
5031188,"St Joseph's Primary School, Meigh",*,*,188,97.4,*,*,193
5031318,"Killowen Primary School, Rostrevor",0,0,62,95.4,3,4.6,65
5031325,"St Joseph's Primary School, Ballymartin",0,0,87,95.6,4,4.4,91
5031340,"St Joseph's Convent Primary School, Newry",5,1,463,93.2,29,5.8,497
5031516,Moneydarragh Primary School,*,*,77,93.9,*,*,82
5031558,Ballyholland Primary School,*,*,#,#,*,*,221
5031589,Grange Primary School,0,0,106,100,0,0,106
5031609,"Carrick Primary School, Warenpoint",0,0,398,99.5,2,0.5,400
5031653,"St Matthew's Primary School, Magheramayo",0,0,78,100,0,0,78
5031667,"St Patrick's Primary School, Maralin",0,0,141,100,0,0,141
5031669,"St John's Primary School, Gilford",0,0,119,98.3,2,1.7,121
5031694,"Holy Cross Primary School, Kilkeel",*,*,#,#,0,0,110
5031695,"St Mary's Primary School, Barr",0,0,150,98.7,2,1.3,152
5031697,"St Patrick's Primary School, Mayobridge",5,1.3,380,95.7,12,3,397
5032208,Ballylifford Primary School,0,0,64,98.5,1,1.5,65
5032262,Lissan Primary School,0,0,125,100,0,0,125
5032306,"St Malachy's Primary School, Glencull",0,0,58,100,0,0,58
5032387,Derrylatinee Primary School,0,0,79,100,0,0,79
5032463,Blessed Patrick O'loughran Primary School,0,0,85,100,0,0,85
5032558,Laghey Primary School,0,0,91,100,0,0,91
5032585,Edendork Primary School,0,0,312,98.4,5,1.6,317
5032591,Roan St Patrick's Primary School,*,*,#,#,*,*,121
5032592,"St Mary's Primary School, Lisbuoy",*,*,#,#,*,*,80
5032624,"St Macartan's Primary School, Clogher",0,0,60,98.4,1,1.6,61
5032678,"St Patrick's Primary School, Donaghmore",0,0,203,97.6,5,2.4,208
5032692,"St Mary's Primary School, Stewartstown",0,0,87,98.9,1,1.1,88
5032697,"St Patrick's Primary School, Aughadarragh",0,0,77,98.7,1,1.3,78
5032698,"St Brigid's Primary School, Mountjoy",0,0,128,100,0,0,128
5032699,"St Mary's Primary School, Dunamore",0,0,187,98.9,2,1.1,189
5032703,"St Peters' Primary School, Moortown",0,0,194,99.5,1,0.5,195
5032713,Derrychrin Primary School,*,*,#,#,0,0,159
5032714,"Holy Family Primary School, Aughamullan",0,0,59,92.2,5,7.8,64
5032715,"St John's Primary School, Moy",0,0,179,95.2,9,4.8,188
5032717,"St Patrick's Primary School, Mullinahoe",0,0,232,100,0,0,232
5032727,"St Brigid's Primary School, Augher",0,0,17,100,0,0,17
5032729,"St John's Primary School, Kingisland",0,0,134,100,0,0,134
5032734,"St Mary's Primary School, Cabra",0,0,198,99.5,1,0.5,199
5032735,"St Mary's Primary School, Ballygawley",*,*,114,95.8,*,*,119
5032736,"St Mary's Primary School, Fivemiletown",0,0,26,92.9,2,7.1,28
5033003,"St Paul's Primary School, Cabra",*,*,#,#,0,0,84
5033004,"St Mary's Primary School, Rathfriland",0,0,113,97.4,3,2.6,116
5033006,"St Michael's Primary School, Finnis",0,0,74,97.4,2,2.6,76
5033011,"St Mary's Primary School, Dechomet",*,*,77,92.8,#,#,83
5033025,"St Patrick's Primary School, Ballymaghery",*,*,#,#,0,0,327
5033324,"St Patrick's Primary School, Derrynaseer",0,0,100,98,2,2,102
5036000,"St Colman's Primary School, Dromore",0,0,101,95.3,5,4.7,106
5036001,"St Mary's Primary School, Glassdrumman",0,0,35,100,0,0,35
5036006,"St Mary's Primary School, Derrymore",*,*,#,#,*,*,167
5036009,"St Mary's Primary School, Derrytrasna",0,0,99,96.1,4,3.9,103
5036031,"St Patrick's Primary School, Loup",0,0,163,98.2,3,1.8,166
5036033,"St Joseph's Primary School, Galbally",0,0,221,100,0,0,221
5036043,"St Mary's Primary School, Banbridge",8,1.6,481,94.5,20,3.9,509
5036047,"St Patrick's Primary School, Annaghmore",0,0,231,99.1,2,0.9,233
5036057,"St Malachy's Primary School, Drumullan",0,0,56,100,0,0,56
5036061,"St Colman's Primary School, Annaclone",0,0,200,97.1,6,2.9,206
5036064,"St Malachy's Primary School, C'croppan",0,0,317,99.4,2,0.6,319
5036087,"St Mary's Primary School, Mullaghbawn",0,0,311,99,3,1,314
5036099,"St Patrick's Primary School, Cullyhanna",0,0,223,100,0,0,223
5036101,St Brendan's Primary School,0,0,437,94.2,27,5.8,464
5036108,"St Joseph's Primary School, Killeenan",0,0,107,99.1,1,0.9,108
5036110,"St Joseph's Primary School, Bessbrook",0,0,361,99.2,3,0.8,364
5036118,"St Mary's Primary School, Pomeroy",0,0,181,100,0,0,181
5036120,"St Patrick's Primary School, Moneymore",0,0,74,100,0,0,74
5036121,St Jarlath's Primary School,*,*,170,96.6,*,*,176
5036122,Jonesborough Primary School,0,0,108,100,0,0,108
5036130,St Laurence O'Toole's Primary School,0,0,61,100,0,0,61
5036136,"Sacred Heart Primary School, Rock",*,*,#,#,*,*,115
5036173,"St John the Baptist Primary School, Portadown",*,*,424,95.5,#,#,444
5036180,"St Oliver Plunkett's Primary School, Ballyhegan",0,0,107,100,0,0,107
5036363,"St Mary's Primary School, Aughnacloy",0,0,100,97.1,3,2.9,103
5036400,"St Colman's Primary School, Bann",0,0,113,89.7,13,10.3,126
5036409,"St Ronan's Primary School, Newry",*,*,384,96.7,#,#,397
5036433,"St Malachy's Primary School, Carnagat",*,*,292,97.3,#,#,300
5036457,"St Francis' Primary School, Aghaderg",0,0,163,97,5,3,168
5036463,"St Joseph's Primary School, Caledon",0,0,41,100,0,0,41
5036504,"St Patrick's Primary School, Dungannon",0,0,826,96.6,29,3.4,855
5036545,"St Colmans' Primary School, Kilkeel",*,*,209,93.7,#,#,223
5036567,"Holy Trinity Primary School, Cookstown",*,*,665,97.5,#,#,682
5036572,"St Colman's Primary School, Saval",0,0,197,99.5,1,0.5,198
